clean_label,Id_snomed,Id_uberon,Label_snomed,Label_uberon,synonyms,Definition,to_merge?,source_scheme (toolbox),synonyms.1,Incoming: subClassOf,Annotation: database_cross_reference,Incoming: part of - uberon,Synonyms_uberon,IRI
cingulum hippocampus,n/a,n/a,,,CHippo,Ventral component of the cingulum bundle connecting parahippocampal gyrus to cingulate cortex,,"AFQ, ICBM-DTI-81",,,DHBA:266441721 ; FMA:75190 ; HBA:265505490 ; SCTID:91366009 ; Wikipedia:Corticopontine_fibers ; neuronames:1322,,"cortico-pontine fibers ; cortico-pontine fibers, pontine part ; corticopontine fibers ; corticopontine fibers of pons ; corticopontine fibers set ; corticopontine fibres ; fibrae corticopontinae ; tractus corticopontinus ; corticopontine ; corticopontine fibres",http://purl.obolibrary.org/obo/UBERON_0022271
commissure anterior,SNOMED:62872008,UBERON:0000935,,anterior commissure,ACOMM ; CA,"The anterior commissure; connects olfactory bulbs, anterior perforated substance, and temporal lobes across the midline",,TractSeg,Corticopontine tract of pons ; Structure of corticopontine tract of pons,Entire corticopontine tract of pons,,,,
corpus callosum anterior midbody,,,,,CC_4,Anterior portion of the corpus callosum body at the level of the primary motor cortex,,TractSeg,Corticospinal tract ; Structure of corticospinal tract,Corticospinal tract of internal capsule ; Structure of lateral corticospinal tract ; Structure of spinal ventral corticospinal tract ; Corticospinal tract in brainstem ; Entire corticospinal tract,BAMS:P ; BIRNLEX:1464 ; BM:CST ; BM:Me-PyT ; BTO:0006132 ; DHBA:12776 ; DMBA:17756 ; EMAPA:36600 ; FMA:72634 ; GAID:702 ; HBA:265505574 ; MBA:190 ; MBA:784 ; MESH:D011712 ; SCTID:362325000 ; UMLS:C0034229 ; Wikipedia:Corticospinal_tract ; neuronames:1320 ; neuronames:800,ventral corticospinal tract ; pyramidal decussation ; lateral corticospinal tract,pyramidal tract ; corticospinal fibers ; fasciculus cerebro-spinalis ; fasciculus pyramidalis ; fibrae corticospinales ; pyramid (Willis) ; tractus cortico-spinalis ; tractus corticospinalis ; tractus pyramidalis,http://purl.obolibrary.org/obo/UBERON_0002707
corpus callosum body central,,,,,CC-BODY-C,Central segment of the corpus callosum body,,"TRACULA, ICBM-DTI-81",Structure of external capsule ; External capsule,Entire external capsule,,,,
corpus callosum body parietal,,,,,CC-BODY-P,Parietal segment of the corpus callosum body,,TRACULA,,,BAMS:EC ; BAMS:ec ; DHBA:10573 ; DMBA:17765 ; EMAPA:35331 ; FMA:61959 ; HBA:9243 ; MA:0002896 ; MBA:579 ; NCIT:C32550 ; NLXANAT:1010013 ; SCTID:279300007 ; UMLS:C0152345 ; Wikipedia:External_capsule ; neuronames:253,,brain external capsule ; external capsule ; capsula externa ; corpus callosum external capsule,http://purl.obolibrary.org/obo/UBERON_0004545
corpus callosum body prefrontal,,,,,CC-BODY-PF,Prefrontal segment of the corpus callosum body,,TRACULA,Extreme capsule ; Structure of extreme capsule,Entire extreme capsule,BAMS:ex ; BAMS:exc ; DHBA:10574 ; FMA:61960 ; HBA:9246 ; NLXANAT:1010014 ; SCTID:279301006 ; Wikipedia:Extreme_capsule ; neuronames:254,,band of Baillarger ; capsula extrema,http://purl.obolibrary.org/obo/UBERON_0014528
corpus callosum body premotor,,,,,CC-BODY-PM,Premotor segment of the corpus callosum body,,TRACULA,Forceps major ; Occipital radiation of corpus callosum ; Posterior forceps ; Structure of forceps major,Entire forceps major,,,,
corpus callosum body temporal,,,,,CC-BODY-T,Temporal segment of the corpus callosum body,,TRACULA,,,DHBA:12025 ; FMA:61949 ; SCTID:369201007 ; neuronames:197,,"forceps major ; forceps major of corpus callosum ; forceps occipitalis ; major forceps ; occipital forceps ; posterior forceps ; posterior forceps of corpus callosum ; ccs-ma ; corpus callosum, forceps major ; corpus callosum, posterior forceps (Arnold) ; forceps major corporis callosi ; forceps major of corpus callosum ; forceps major of the corpus callosum ; forceps occipitalis ; occipital forceps ; posterior forceps ; posterior forceps of the corpus callosum",http://purl.obolibrary.org/obo/UBERON_0034676
corpus callosum genu,,UBERON:0000955,,genu of corpus callosum,CC_2,"The anterior, rostral bend of the corpus callosum connecting the two prefrontal cortices",,"TractSeg, ICBM-DTI-81",Anterior forceps ; Forceps minor ; Parietal radiation of corpus callosum ; Structure of forceps minor,Entire forceps minor,,,,
corpus callosum isthmus,,UBERON:0009835,,isthmus of corpus callosum,CC_6,The narrow portion of the corpus callosum between the body and splenium; connects superior temporal and posterior parietal areas,,TractSeg,,,DHBA:12024 ; FMA:61944 ; SCTID:369199005 ; neuronames:192,,"anterior forceps ; anterior forceps of corpus callosum ; forceps frontalis ; forceps minor ; frontal forceps ; minor forceps ; anterior forceps ; anterior forceps of the corpus callosum ; corpus callosum, anterior forceps ; corpus callosum, anterior forceps (Arnold) ; corpus callosum, forceps minor ; forceps frontalis ; forceps minor ; forceps minor corporis callosi ; forceps minor of corpus callosum ; forceps minor of the corpus callosum ; frontal forceps",http://purl.obolibrary.org/obo/UBERON_0034678
corpus callosum posterior midbody,,,,,CC_5,Posterior portion of the corpus callosum body at the level of the primary somatosensory cortex,,TractSeg,,,BAMS:f ; BIRNLEX:705 ; DHBA:10576 ; DMBA:17767 ; EMAPA:35352 ; FMA:61965 ; FMA:83865 ; HBA:9249 ; MA:0002747 ; NCIT:C32289 ; SCTID:279302004 ; UMLS:C0152334 ; UMLS:C0458370 ; Wikipedia:fornix_of_brain ; neuronames:268,precommissural fornix of forebrain ; posterior column of fornix ; body of fornix ; anterior column of fornix ; postcommissural fornix of brain ; hippocampus fimbria,fornix ; brain fornix ; cerebral fornix ; forebrain fornix ; fornix of neuraxis ; neuraxis fornix ; fornix (column and body of fornix) ; fornix cerebri ; fornix hippocampus ; hippocampus fornix,http://purl.obolibrary.org/obo/UBERON_0000052
corpus callosum rostral body,,,,,CC_3,Rostral body of the corpus callosum at the level of the premotor and supplementary motor cortex,,TractSeg,,,,,cingulum (Ammon's horn) ; cingulum (hippocampus) ; cingulum bundle in hippocampus,http://purl.obolibrary.org/obo/UBERON_0022430
corpus callosum rostrum,,UBERON:0000052,,rostrum of corpus callosum,CC_1,The most anterior and ventral portion of the corpus callosum; connects orbitofrontal regions,,TractSeg,Inferior fronto-occipital fasciculus ; Structure of inferior fronto-occipital fasciculus,Entire inferior fronto-occipital fasciculus,,,,
corpus callosum splenium,,UBERON:0022430,,splenium of corpus callosum,CC_7,The posterior bulbous end of the corpus callosum connecting the occipital and posterior parietal lobes; carries visual callosal fibers,,"TractSeg, ICBM-DTI-81",Inferior longitudinal fasciculus ; Temporooccipital fasciculus ; Structure of inferior longitudinal fasciculus,Entire inferior longitudinal fasciculus,DHBA:10580 ; FMA:77632 ; HBA:9260 ; NeuroNamesCNID:538 ; SCTID:369085008 ; Wikipedia:Inferior_longitudinal_fasciculus ; neuronames:1443,,external sagittal stratum ; fasciculus fronto-occipitalis inferior ; fasciculus longitudinalis inferior ; ilf,http://purl.obolibrary.org/obo/UBERON_0034743
corticopontine tract,SNOMED:1296738007,,Corticopontine tract (body structure),,CPT ; FPT,Fibers from cortex projecting to the pontine nuclei via the cerebral peduncle; includes frontal (FPT) and parieto-occipital (POPT) components,,DSI_Studio,,,DHBA:12070 ; FMA:77633 ; SCTID:369087000 ; neuronames:1442,,inferior occipitofrontal fasciculus ; fasciculus occipito-frontalis inferior ; fasciculus occipitofrontalis inferior ; inferior fronto-occipital fasciculus ; inferior occipitofrontal fasciculus,http://purl.obolibrary.org/obo/UBERON_0034753
corticospinal tract,,UBERON:0002707,,corticospinal tract,CST,Projection fibers from layer V pyramidal cells of the motor cortex descending through the internal capsule; decussate at the medullary pyramids to control contralateral voluntary movement,,"AFQ, ICBM-DTI-81",IC - Internal capsule ; Internal capsule ; Internal capsule of brain ; Internal capsule structure of brain ; Internal capsule structure,Entire internal capsule ; Part of internal capsule of brain,,,,
corticostriatal tract,,,,,CStr,"Fibers from motor, premotor, prefrontal and other cortical areas projecting to the caudate nucleus and putamen",,DSI_Studio,,,BAMS:ic ; BAMS:int ; BIRNLEX:1659 ; BM:IC ; DHBA:10581 ; DMBA:17770 ; EMAPA:18206 ; EMAPA:35437 ; FMA:61950 ; GAID:685 ; HBA:9263 ; MA:0002748 ; MBA:6 ; MESH:D020772 ; NCIT:C13082 ; PBA:10102 ; SCTID:85637007 ; UMLS:C0152341 ; Wikipedia:Internal_capsule,posterior limb of internal capsule ; limb of internal capsule of telencephalon,internal capsule ; brain internal capsule ; internal capsule radiations ; capsula interna,http://purl.obolibrary.org/obo/UBERON_0001887
dentato-rubro-thalamic tract,,,,,DRTT,Cerebellar efferent pathway from the dentate nucleus crossing to the contralateral red nucleus and ventral lateral thalamus; involved in motor coordination,,DSI_Studio,,,,,,
entire genu of corpus callosum,,,,,CC_2 ; genu CC,The complete genu of the corpus callosum as defined in the SNOMED full structure label,,master_LUT,,,BAMS:mlfp ; BIRNLEX:1708 ; FMA:72493 ; UMLS:C0228440 ; neuronames:600,,medial longitudinal fasciculus of pons of varolius ; pons medial longitudinal fasciculus ; pons of varolius medial longitudinal fasciculus ; fasciculus longitudinalis medialis (pontis) ; medial longitudinal fasciculus of the pons,http://purl.obolibrary.org/obo/UBERON_0002794
extreme capsule,,UBERON:0004545,,extreme capsule,EmC,White matter lateral to the claustrum and medial to the insula; contains short and long association fibers connecting frontal and temporal lobes,,TRACULA,Olfactory tract ; Olfactory tract structure,Structure of olfactory trigone ; Entire olfactory tract ; Olfactory striae ; Olfactory gyrus,BAMS:olf ; BIRNLEX:1663 ; BTO:0003647 ; DHBA:12073 ; EMAPA:35615 ; FMA:77626 ; HBA:9302 ; MA:0000975 ; NCIT:C33207 ; SCTID:362356008 ; UMLS:C0162435 ; Wikipedia:Olfactory_tract ; neuronames:283,,olfactory peduncle ; olfactory stalk ; pedunclulus olfactorius ; tractus olfactorium ; tractus olfactorius,http://purl.obolibrary.org/obo/UBERON_0002265
fornix,SNOMED:87463005,UBERON:0000022,Fornix (body structure),fornix,FX,"The major efferent tract of the hippocampus, arching from the hippocampus under the corpus callosum to the mammillary bodies and septal nuclei",,"TractSeg, ICBM-DTI-81",Geniculocalcarine tract ; Optic radiation ; Structure of optic radiation,Entire optic radiation,DHBA:266441621 ; FMA:61941 ; HBA:9311 ; SCTID:280953008 ; Wikipedia:Optic_radiation ; neuronames:1440,Meyer's loop of optic radiation,Gratiolet's radiation ; archambault%27s loop ; genicula-celcarine tract ; geniculo-calcarine tract ; geniculocalcarine tract ; geniculostriate pathway ; meyer's loop ; optic radiations ; radiatio optica ; railroad nystagmus,http://purl.obolibrary.org/obo/UBERON_0022264
frontal aslant tract,,,,,FAT,Short association tract connecting the supplementary motor area and presupplementary motor area with the inferior frontal gyrus; involved in speech initiation and verbal fluency,,TRACULA,,,FMA:76975,,thalamus radiation ; thalamic radiation,http://purl.obolibrary.org/obo/UBERON_0034745
fronto-pontine tract,,,,,FPT,,,TractSeg,,,DHBA:12082 ; FMA:277107 ; HBA:265505286,,sst,http://purl.obolibrary.org/obo/UBERON_0035931
inferior cerebellar peduncle,,UBERON:0022264,,inferior cerebellar peduncle,ICP,Carries afferents to the cerebellum from the spinal cord (spinocerebellar) and brainstem (olivocerebellar); also contains efferent fibers,,"TractSeg, ICBM-DTI-81",,,DHBA:12071 ; FMA:77634 ; FMA:77637 ; HBA:265505338 ; SCTID:369086009 ; neuronames:2141,,fasciculus occipitofrontalis superior ; fasciculus subcallosus ; superior occipitofrontal fasciculus ; subcallosal bundle ; superior fronto-occipital bundle ; superior fronto-occipital fasciculus ; superior occipito-frontal fascicle ; superior occipitofrontal fasciculus,http://purl.obolibrary.org/obo/UBERON_0022250
inferior fronto-occipital fasciculus,,UBERON:0022271,,inferior fronto-occipital fasciculus,IFO ; IFOF,Long association bundle passing through the external/extreme capsule connecting frontal lobe with occipital and posterior temporal cortex; runs ventral to the uncinate fasciculus,,"AFQ, ICBM-DTI-81",Superior fronto-occipital fasciculus ; Structure of superior fronto-occipital fasciculus,Entire superior fronto-occipital fasciculus,,,,
inferior longitudinal fasciculus,,UBERON:0035937,,inferior longitudinal fasciculus,ILF,Long association bundle along the lateral temporal and occipital lobes connecting occipital cortex with the temporal pole and amygdala,,"AFQ, ICBM-DTI-81",Arcuate fasciculus ; Superior longitudinal fasciculus ; Structure of superior longitudinal fasciculus,Entire superior longitudinal fasciculus,DHBA:10592 ; FMA:77631 ; HBA:9281 ; SCTID:369082006 ; Wikipedia:Superior_longitudinal_fasciculus ; neuronames:2080,arcuate fasciculus ; temporal part of superior longitudinal fasciculus,superior longitudinal fascicle,http://purl.obolibrary.org/obo/UBERON_0022246
Internal capsule,,,,,,,,ICBM-DTI-81,,,,,,
medial forebrain bundle,,UBERON:0001882,,medial forebrain bundle,,"A complex bundle of fibers connecting the olfactory regions, hypothalamus, and midbrain; includes dopaminergic projections of the reward system",,master_LUT,,,,,,
medial lemniscus,SNOMED:30114003,UBERON:0003002,,medial lemniscus,ML,Sensory pathway carrying discriminative touch and proprioception from the contralateral body; ascends through the brainstem to the thalamus,,"DSI_Studio, ICBM-DTI-81 ",,,,,,
middle cerebellar peduncle,,UBERON:0002336,,middle cerebellar peduncle,MCP,The largest cerebellar peduncle; carries pontocerebellar fibers from the contralateral pontine nuclei to the cerebellar cortex,,"TractSeg, ICBM-DTI-81",Tapetum ; Tapetum of corpus callosum ; Structure of tapetum of corpus callosum,Entire tapetum of corpus callosum,DHBA:12027 ; FMA:77208 ; HBA:265504966 ; SCTID:279312006 ; Wikipedia:Tapetum_of_corpus_callosum ; neuronames:1596,,tapetum ; tapetum corporis callosi,http://purl.obolibrary.org/obo/UBERON_0000373
medial longitudinal fasciculus,SNOMED:28390009,UBERON:0002309,,middle longitudinal fasciculus,MLF ; MdLF,Association bundle connecting the superior temporal gyrus with the parietal lobe; involved in auditory and language processing,,TractSeg,Frontotemporal fasciculus ; Uncinate fasciculus ; Structure of uncinate fasciculus,Entire uncinate fasciculus,BAMS:unc ; BIRNLEX:983 ; DHBA:10594 ; FMA:77636 ; MESH:D000083382 ; SCTID:369083001 ; UMLS:C0228271 ; Wikipedia:Uncinate_fasciculus ; neuronames:597,uncinate fasciculus of the forebrain,cerebral uncinate fasciculus ; cerebellospinal tract ; fasciculus fastigio-vestibularis ; fastigiobulbar tract ; hook bundle of Russell ; russell's fasciculus ; tractus cerebello-bulbaris ; tractus uncinatus ; tractus uncinatus (Lewandowsky) ; uncinate bundle of Russell ; uncinate fascicle (Russell) ; uncinate fasciculus of Russell ; uncinate fasciculus of cerebellum ; uncinate fasciculus of pons ; uncinate fasciculus of the pons ; uncinate fasciculus-2,http://purl.obolibrary.org/obo/UBERON_0003044
optic radiation,SNOMED:70105001,UBERON:0002934,Optic radiation (body structure),optic radiation,OR,Geniculocalcarine tract carrying visual information from the lateral geniculate nucleus to the primary visual cortex; includes Meyer loop (lower visual field) inferolaterally through temporal lobe,,TractSeg,Perpendicular fasciculus ; Vertical occipital fasciculus ; Structure of vertical occipital fasciculus,Entire vertical occipital fasciculus,,,,
parieto-occipital pontine tract,,,,,POPT,Corticopontine fibers from parietal and occipital cortex projecting to the pontine nuclei via the posterior limb of the internal capsule,,TractSeg,,,,,,
posterior arcuate fasciculus,,,,,pArc,The posterior segment of the arcuate fasciculus connecting posterior superior temporal gyrus with inferior parietal lobule,,Brainlife_WMC,,,,,,
reticular tract,,,,,RET,Reticulospinal fibers from the reticular formation of the brainstem descending to the spinal cord; modulates muscle tone and autonomic functions,,DSI_Studio,entire genu of corpus callosum,,,,,
striato-fronto-orbital tract,,,,,ST_FO,Corticostriatal fibers between orbitofrontal cortex and striatum,,TractSeg,,,,,,
striato-occipital tract,,,,,ST_OCC,Corticostriatal fibers between occipital cortex and striatum,,TractSeg,,,,,,
striato-parietal tract,,,,,ST_PAR,Corticostriatal fibers between parietal cortex and striatum,,TractSeg,,,,,,
striato-postcentral tract,,,,,ST_POSTC,Corticostriatal fibers between somatosensory cortex and striatum,,TractSeg,,,,,,
striato-precentral tract,,,,,ST_PREC,Corticostriatal fibers between primary motor cortex and striatum,,TractSeg,,,,,,
striato-prefrontal tract,,,,,ST_PREF,Corticostriatal fibers between prefrontal cortex and striatum,,TractSeg,,,,,,
striato-premotor tract,,,,,ST_PREM,Corticostriatal fibers between premotor cortex and striatum,,TractSeg,,,,,,
superior cerebellar peduncle,,UBERON:0002250,,superior cerebellar peduncle,SCP,Primary efferent pathway of the cerebellum; carries dentate nucleus output to the contralateral red nucleus and thalamus,,"TractSeg, ICBM-DTI-81",,,,,,
superior longitudinal fasciculus,SNOMED:88442005,UBERON:0014528,Superior longitudinal fasciculus (body structure),superior longitudinal fasciculus,SLF,"Large association bundle in the dorsolateral white matter connecting frontal, parietal, temporal and occipital lobes; contains the arcuate fasciculus and subdivides into SLF I-III",,"AFQ, ICBM-DTI-81",,,,,,
superior longitudinal fasciculus I,,,,,SLF-I ; SLF_I,Dorsomedial SLF subdivision connecting precuneus and superior parietal lobule with supplementary motor area and dorsomedial prefrontal cortex,,TractSeg,,,,,,
superior longitudinal fasciculus II,,,,,SLF-II ; SLF_II,Middle SLF subdivision connecting angular gyrus with dorsolateral prefrontal cortex,,TractSeg,,,,,,
superior longitudinal fasciculus III,,,,,SLF-III ; SLF_III,Ventral SLF subdivision in the frontal and parietal operculum connecting supramarginal gyrus with inferior frontal gyrus,,TractSeg,,,,,,
superior thalamic radiation,,,,,STR,Thalamocortical fibers connecting the ventral posterior thalamic nucleus with the primary somatosensory cortex,,TractSeg,,,,,,
temporo-parietal connection to superior parietal lobule,,,,,TP-SPL,Association fibers connecting superior temporal cortex with the superior parietal lobule,,Brainlife_WMC,,,,,,
thalamo-occipital tract,,,,,T_OCC,Thalamocortical fibers connecting the pulvinar with occipital cortex,,TractSeg,,,,,,
thalamo-parietal tract,,,,,T_PAR,Thalamocortical fibers connecting pulvinar and LP nucleus with posterior parietal cortex,,TractSeg,,,,,,
thalamo-postcentral tract,,,,,T_POSTC,Thalamocortical fibers connecting ventral posterior thalamic nucleus with primary somatosensory cortex,,TractSeg,,,,,,
thalamo-precentral tract,,,,,T_PREC,Thalamocortical fibers connecting ventral lateral thalamic nucleus with primary motor cortex,,TractSeg,,,,,,
thalamo-prefrontal tract,,,,,T_PREF,Thalamocortical fibers connecting mediodorsal and anterior thalamic nuclei with prefrontal cortex,,TractSeg,,,,,,
thalamo-premotor tract,,,,,T_PREM,Thalamocortical fibers connecting ventral lateral thalamic nucleus with premotor cortex,,TractSeg,,,,,,
uncinate fasciculus,SNOMED:85637007,UBERON:0000935,Uncinate fasciculus (body structure),uncinate fasciculus,UF ; UNC,Hook-shaped association bundle connecting the anterior temporal lobe and amygdala with the orbitofrontal cortex via the limen insulae,,"AFQ, ICBM-DTI-81",,,,,,
ventral amygdalofugal pathway,,UBERON:0002981,,ventral amygdalofugal pathway,,"Efferent pathway from the amygdala projecting to the hypothalamus, thalamus, and basal forebrain; part of the limbic system",,master_LUT,,,,,,
vertical occipital fasciculus,SNOMED:80434005,n/a,,,VOF,Short association tract connecting dorsal and ventral occipital cortex running perpendicular to the calcarine sulcus; described by Wernicke (1881),,Brainlife_WMC,,,,,,
,,,,,ML,,,ICBM-DTI-81,,,,,,
,,,,,,,,ICBM-DTI-81,,,,,,
,,,,,,,,,,,,,,
