clean_label,Id_snomed,Id_uberon,Label_snomed,Label_uberon,synonyms,Definition,source_scheme (toolbox),Annotation: database_cross_reference
cingulum hippocampus,n/a,n/a,,,CHippo,Ventral component of the cingulum bundle connecting parahippocampal gyrus to cingulate cortex,AFQ ; ICBM-DTI-81 ; Bullock_2022,DHBA:266441721 ; FMA:75190 ; HBA:265505490 ; SCTID:91366009 ; Wikipedia:Corticopontine_fibers ; neuronames:1322
cingulum subgenual,n/a,n/a,,,CBS ; SCB,"The ventral-most component of the cingulum bundle curving around the genu of the corpus callosum and extending posteriorly against the subgenual cingulate cortex; carries fibers connecting orbitofrontal and subgenual cingulate cortex with the amygdala, hippocampus and thalamus. A primary target of deep brain stimulation for treatment-resistant major depressive disorder (Mayberg subcallosal cingulate target). Described as a distinct subdivision by Heilbronner and Haber (2014) and Bullock et al. (2022).",Bullock_2022,
cingulum periGenual,n/a,n/a,,,CBP,The peri-genual subsection of the cingulum bundle curving around the genu of the corpus callosum; connects the subgenual and anterior cingulate cortex with the orbitofrontal cortex and anterior thalamic nuclei. Defined as a distinct subdivision in the XTRACT atlas (Warrington et al. 2020). Overlaps anatomically with the subgenual cingulum; XTRACT defines the boundary by waypoint ROIs at the level of the genu.,XTRACT,
cingulum temporal,n/a,n/a,,,CBT,"The temporal subsection of the cingulum bundle running along the parahippocampal gyrus into the temporal lobe; connects posterior cingulate and retrosplenial cortex with the temporal pole, entorhinal cortex, and perirhinal cortex. Defined as a distinct subdivision in the XTRACT atlas (Warrington et al. 2020). Distinguished from the ventral/hippocampal cingulum by its more anterior temporal termination pattern.",XTRACT,
commissure anterior,SNOMED:62872008,UBERON:0000935,anterior commissure,anterior commissure,Anterior commissure ; Structure of anterior commissure,"The anterior commissure; connects olfactory bulbs, anterior perforated substance, and temporal lobes across the midline",TractSeg ; Bullock_2022,BAMS:AC ; BAMS:AG ; BAMS:Ac ; BAMS:ac ; BIRNLEX:1557 ; BM:Tel-AC ; BTO:0002169 ; DHBA:10559 ; DMBA:17751 ; EMAPA:19038 ; FMA:61961 ; HBA:9221 ; MA:0002722 ; NCIT:C32086 ; NLX:144088 ; SCTID:279313001 ; SCTID:369119009 ; TAO:0001108 ; VHOG:0001558 ; Wikipedia:Anterior_commissure ; ZFA:0001108 ; neuronames:205 ; UMLS:C0152335
corpus callosum,SNOMED:362354006,UBERON:0002336,Entire corpus callosum,corpus callosum,Entire corpus callosum,"The largest commissural white matter structure of the brain, connecting homologous and heterologous regions of the left and right cerebral hemispheres via approximately 200-300 million myelinated axons; subdivided from anterior to posterior into the rostrum, genu, body, isthmus, and splenium.",ICBM-DTI-81 ; Bullock_2022,BAMS:CC ; BAMS:cc ; BIRNLEX:1087 ; BM:Tel-CC ; BTO:0000615 ; CALOHA:TS-0180 ; DHBA:10561 ; EFO:0001390 ; EMAPA:35253 ; EV:0100305 ; FMA:86464 ; GAID:683 ; HBA:9222 ; MA:0000188 ; MAT:0000286 ; MBA:776 ; MESH:D003337 ; MIAA:0000286 ; NCIT:C12446 ; SCTID:362354006 ; VHOG:0001608 ; Wikipedia:Corpus_callosum ; neuronames:191 ; UMLS:C0010090
corpus callosum anterior midbody,n/a,n/a,,,CC_4,Anterior portion of the corpus callosum body at the level of the primary motor cortex,TractSeg,BAMS:P ; BIRNLEX:1464 ; BM:CST ; BM:Me-PyT ; BTO:0006132 ; DHBA:12776 ; DMBA:17756 ; EMAPA:36600 ; FMA:72634 ; GAID:702 ; HBA:265505574 ; MBA:190 ; MBA:784 ; MESH:D011712 ; SCTID:362325000 ; UMLS:C0034229 ; Wikipedia:Corticospinal_tract ; neuronames:1320 ; neuronames:800
corpus callosum body central,n/a,n/a,,,CC-BODY-C,Central segment of the corpus callosum body,TRACULA ; ICBM-DTI-81 ; MGH_HCP,
corpus callosum body parietal,n/a,n/a,,,CC-BODY-P,Parietal segment of the corpus callosum body,TRACULA ; MGH_HCP,BAMS:EC ; BAMS:ec ; DHBA:10573 ; DMBA:17765 ; EMAPA:35331 ; FMA:61959 ; HBA:9243 ; MA:0002896 ; MBA:579 ; NCIT:C32550 ; NLXANAT:1010013 ; SCTID:279300007 ; UMLS:C0152345 ; Wikipedia:External_capsule ; neuronames:253
corpus callosum body prefrontal,n/a,n/a,,,CC-BODY-PF,Prefrontal segment of the corpus callosum body,TRACULA ; MGH_HCP,BAMS:ex ; BAMS:exc ; DHBA:10574 ; FMA:61960 ; HBA:9246 ; NLXANAT:1010014 ; SCTID:279301006 ; Wikipedia:Extreme_capsule ; neuronames:254
corpus callosum body premotor,n/a,n/a,,,CC-BODY-PM,Premotor segment of the corpus callosum body,TRACULA ; MGH_HCP,
corpus callosum body temporal,n/a,n/a,,,CC-BODY-T,Temporal segment of the corpus callosum body,TRACULA ; MGH_HCP,DHBA:12025 ; FMA:61949 ; SCTID:369201007 ; neuronames:197
corpus callosum genu,SNOMED:279310003,UBERON:0015599,Entire genu of corpus callosum,genu of corpus callosum,Entire genu of corpus callosum,"The anterior, rostral bend of the corpus callosum connecting the two prefrontal cortices",TractSeg ; ICBM-DTI-81 ; MGH_HCP,DHBA:10563 ; FMA:61946 ; HBA:9223 ; MBA:1108 ; NCIT:C32675 ; NLX:144462 ; NeuroNamesCNID:176 ; SCTID:279310003 ; UMLS:C0152321 ; Wikipedia:Genu_of_the_corpus_callosum ; neuronames:194
corpus callosum isthmus,SNOMED:369199005,UBERON:0009835,Entire forceps minor,anterior cingulate cortex,CC_6,The narrow portion of the corpus callosum between the body and splenium; connects superior temporal and posterior parietal areas,TractSeg,BIRNLEX:936 ; BTO:0004249 ; FMA:271599 ; Wikipedia:Anterior_cingulate_cortex
corpus callosum posterior midbody,n/a,n/a,,,CC_5,Posterior portion of the corpus callosum body at the level of the primary somatosensory cortex,TractSeg,BAMS:f ; BIRNLEX:705 ; DHBA:10576 ; DMBA:17767 ; EMAPA:35352 ; FMA:61965 ; FMA:83865 ; HBA:9249 ; MA:0002747 ; NCIT:C32289 ; SCTID:279302004 ; UMLS:C0152334 ; UMLS:C0458370 ; Wikipedia:fornix_of_brain ; neuronames:268
corpus callosum rostral body,n/a,n/a,,,CC_3,Rostral body of the corpus callosum at the level of the premotor and supplementary motor cortex,TractSeg,
corpus callosum rostrum,SNOMED:279311004,UBERON:0015703,Rostrum of corpus callosum (body structure),rostrum of corpus callosum,CC_1,The most anterior and ventral portion of the corpus callosum; connects orbitofrontal regions,TractSeg ; MGH_HCP,DHBA:10562 ; FMA:61945 ; HBA:9226 ; MBA:979 ; NCIT:C33496 ; NeuroNamesCNID:175 ; SCTID:279311004 ; UMLS:C0152322 ; Wikipedia:Rostrum_of_corpus_callosum ; neuronames:193
corpus callosum splenium,SNOMED:369085008,UBERON:0022430,Splenium of corpus callosum (body structure),hippocampus cortex cingulum,CC_7,The posterior bulbous end of the corpus callosum connecting the occipital and posterior parietal lobes; carries visual callosal fibers,TractSeg ; ICBM-DTI-81 ; MGH_HCP,DHBA:10580 ; FMA:77632 ; HBA:9260 ; NeuroNamesCNID:538 ; SCTID:369085008 ; Wikipedia:Inferior_longitudinal_fasciculus ; neuronames:1443
corticopontine tract,SNOMED:1296738007,,corticospinal tract,,CPT ; FPT,Fibers from cortex projecting to the pontine nuclei via the cerebral peduncle; includes frontal (FPT) and parieto-occipital (POPT) components,DSI_Studio ; Bullock_2022,DHBA:12070 ; FMA:77633 ; SCTID:369087000 ; neuronames:1442
corticospinal tract,n/a,UBERON:0002707,,corticospinal tract,CST,Projection fibers from layer V pyramidal cells of the motor cortex descending through the internal capsule; decussate at the medullary pyramids to control contralateral voluntary movement,AFQ ; ICBM-DTI-81 ; Bullock_2022 ; XTRACT,BAMS:P ; BIRNLEX:1464 ; BM:CST ; BM:Me-PyT ; DHBA:12776 ; DMBA:17756 ; EMAPA:36600 ; FMA:72634 ; GAID:702 ; HBA:265505574 ; MBA:190 ; MBA:784 ; MESH:D011712 ; SCTID:362325000 ; Wikipedia:Corticospinal_tract ; neuronames:1320 ; BTO:0006132 ; UMLS:C0034229 ; neuronames:800
corticostriatal tract,n/a,n/a,,,CStr,"Fibers from motor, premotor, prefrontal and other cortical areas projecting to the caudate nucleus and putamen",DSI_Studio,BAMS:ic ; BAMS:int ; BIRNLEX:1659 ; BM:IC ; DHBA:10581 ; DMBA:17770 ; EMAPA:18206 ; EMAPA:35437 ; FMA:61950 ; GAID:685 ; HBA:9263 ; MA:0002748 ; MBA:6 ; MESH:D020772 ; NCIT:C13082 ; PBA:10102 ; SCTID:85637007 ; UMLS:C0152341 ; Wikipedia:Internal_capsule
dentato-rubro-thalamic tract,n/a,n/a,,,DRTT,Cerebellar efferent pathway from the dentate nucleus crossing to the contralateral red nucleus and ventral lateral thalamus; involved in motor coordination,DSI_Studio ; MGH_HCP,
extreme capsule,n/a,UBERON:0014528,,extreme capsule,EmC,White matter lateral to the claustrum and medial to the insula; contains short and long association fibers connecting frontal and temporal lobes,TRACULA ; MGH_HCP ; Bullock_2022,BAMS:ex ; BAMS:exc ; DHBA:10574 ; FMA:61960 ; HBA:9246 ; NLXANAT:1010014 ; SCTID:279301006 ; Wikipedia:Extreme_capsule ; neuronames:254
fornix,SNOMED:87463005,UBERON:0000022,Cerebral fornix,feather,FX,"The major efferent tract of the hippocampus, arching from the hippocampus under the corpus callosum to the mammillary bodies and septal nuclei",TractSeg ; ICBM-DTI-81 ; Bullock_2022 ; XTRACT,BTO:0000447 ; EFO:0000955 ; GAID:1214 ; MAT:0000156 ; MESH:D005241 ; SCTID:410027006 ; Wikipedia:Feather
fornix cres stria terminalis,n/a,n/a,,,FX/ST,A compound ICBM-DTI-81 atlas label covering fibers of the fimbria-fornix and stria terminalis that cannot be resolved as separate structures at standard DTI resolution. The stria terminalis runs along the medial aspect of the caudate nucleus carrying amygdalofugal fibers to the hypothalamus and bed nucleus of the stria terminalis. Labeled as a combined entry in ICBM-DTI-81 because both structures share the same spatial volume at 1-2mm isotropic resolution.,ICBM-DTI-81,FMA:61964 ; neuronames:270
frontal aslant tract,n/a,n/a,,,FAT,Short association tract connecting the supplementary motor area and presupplementary motor area with the inferior frontal gyrus; involved in speech initiation and verbal fluency,TRACULA ; MGH_HCP ; XTRACT,FMA:76975
fronto-pontine tract,n/a,n/a,,,FPT,,TractSeg ; MGH_HCP ; Bullock_2022,DHBA:12082 ; FMA:277107 ; HBA:265505286
inferior cerebellar peduncle,n/a,UBERON:0002163,,inferior cerebellar peduncle,ICP,Carries afferents to the cerebellum from the spinal cord (spinocerebellar) and brainstem (olivocerebellar); also contains efferent fibers,TractSeg ; ICBM-DTI-81,BAMS:icp ; BIRNLEX:1691 ; BM:RB ; DHBA:12741 ; DMBA:17772 ; FMA:72615 ; HBA:9291 ; MA:0002744 ; MBA:1123 ; NIFSTD_RETIRED:birnlex_1645 ; SCTID:362418008 ; Wikipedia:Inferior_cerebellar_peduncle ; UMLS:C0152393 ; neuronames:781
inferior fronto-occipital fasciculus,n/a,UBERON:0022271,,corticopontine fibers,IFO ; IFOF,Long association bundle passing through the external/extreme capsule connecting frontal lobe with occipital and posterior temporal cortex; runs ventral to the uncinate fasciculus,AFQ ; ICBM-DTI-81 ; JHU_Tractography ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT,DHBA:266441721 ; FMA:75190 ; HBA:265505490 ; SCTID:91366009 ; Wikipedia:Corticopontine_fibers ; neuronames:1322
inferior longitudinal fasciculus,n/a,UBERON:0034743,,inferior longitudinal fasciculus,ILF,Long association bundle along the lateral temporal and occipital lobes connecting occipital cortex with the temporal pole and amygdala,AFQ ; ICBM-DTI-81 ; JHU_Tractography ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT,DHBA:10580 ; FMA:77632 ; HBA:9260 ; NeuroNamesCNID:538 ; SCTID:369085008 ; Wikipedia:Inferior_longitudinal_fasciculus ; neuronames:1443
Internal capsule,n/a,UBERON:0001887,,internal capsule of telencephalon,ALIC ; IC ; PLIC,"Large paired white matter structure positioned between the caudate nucleus and thalamus medially and the lentiform nucleus laterally; carries all ascending and descending projection fibers between the cerebral cortex and subcortical structures including the thalamus, brainstem and spinal cord. Divided into the anterior limb, genu, and posterior limb, with retrolenticular and sublenticular extensions.",ICBM-DTI-81,BAMS:ic ; BAMS:int ; BIRNLEX:1659 ; BM:IC ; DHBA:10581 ; DMBA:17770 ; EMAPA:18206 ; EMAPA:35437 ; FMA:61950 ; GAID:685 ; HBA:9263 ; MA:0002748 ; MBA:6 ; MESH:D020772 ; NCIT:C13082 ; PBA:10102 ; SCTID:85637007 ; Wikipedia:Internal_capsule ; UMLS:C0152341
anterior limb of internal capsule,n/a,n/a,,,ALIC,"The anterior subdivision of the internal capsule lying between the head of the caudate nucleus and the anterior lentiform nucleus; carries frontopontine fibers, corticostriatal fibers, and the anterior thalamic radiation connecting mediodorsal and anterior thalamic nuclei with prefrontal and anterior cingulate cortex. A major target for deep brain stimulation and capsulotomy in treatment-resistant OCD and depression.",ICBM-DTI-81 ; Bullock_2022,FMA:61952 ; neuronames:200
posterior limb of internal capsule,n/a,UBERON:0014527,,posterior limb of internal capsule,PLIC,"The posterior subdivision of the internal capsule lying between the thalamus and the posterior lentiform nucleus; carries the corticospinal and corticobulbar tracts, superior thalamic radiation, and parietopontine and temporopontine fibers. Damage produces contralateral hemiplegia; the posterior limb is the most clinically critical segment of the internal capsule.",ICBM-DTI-81 ; Bullock_2022,BAMS:pic ; DHBA:10584 ; FMA:61954 ; NLX:144258 ; SCTID:279296006 ; Wikipedia:Posterior_limb_of_internal_capsule ; neuronames:201
retrolenticular part of internal capsule,n/a,n/a,,,RLIC,"The portion of the internal capsule posterior to the lentiform nucleus; carries the posterior thalamic radiation including the optic radiation from the lateral geniculate nucleus, and parietopontine and occipito-pontine fibers. Damage produces contralateral hemianopia.",ICBM-DTI-81,FMA:61955 ; neuronames:204
medial forebrain bundle,n/a,UBERON:0001882,,nucleus accumbens,,"A complex bundle of fibers connecting the olfactory regions, hypothalamus, and midbrain; includes dopaminergic projections of the reward system",master_LUT ; Bullock_2022,BAMS:ACB ; BAMS:ACC ; BAMS:Acb ; BIRNLEX:727 ; BM:Ac ; BTO:0001862 ; DHBA:10339 ; EFO:0000906 ; EHDAA2:0004707 ; EMAPA:32789 ; FMA:61889 ; GAID:672 ; HBA:4290 ; MA:0000892 ; MAT:0000512 ; MBA:56 ; MESH:D009714 ; NCIT:C52733 ; PBA:10092 ; SCTID:427667007 ; Wikipedia:Nucleus_accumbens ; UMLS:C0028633 ; neuronames:277
medial lemniscus,SNOMED:30114003,UBERON:0003002,Medial lemniscus,medial lemniscus,Lemniscus medialis ; Medial lemniscus ; Medial lemniscus structure,Sensory pathway carrying discriminative touch and proprioception from the contralateral body; ascends through the brainstem to the thalamus,DSI_Studio ; ICBM-DTI-81,
middle cerebellar peduncle,n/a,UBERON:0002152,,middle cerebellar peduncle,MCP,The largest cerebellar peduncle; carries pontocerebellar fibers from the contralateral pontine nuclei to the cerebellar cortex,TractSeg ; ICBM-DTI-81 ; XTRACT,BAMS:BP ; BAMS:bp ; BAMS:mcp ; BIRNLEX:1529 ; BM:Pons-BP ; DHBA:12768 ; FMA:72515 ; HBA:9294 ; MA:0002745 ; MBA:78 ; NIFSTD_RETIRED:birnlex_1699 ; SCTID:279219000 ; Wikipedia:Middle_cerebellar_peduncle ; MESH:D065837 ; UMLS:C0152392 ; neuronames:620
middle longitudinal fasciculus,n/a,UBERON:0034753,,middle longitudinal fasciculus,MLF ; MdLF,Association bundle connecting the superior temporal gyrus with the parietal lobe; involved in auditory and language processing,TractSeg ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT,BAMS:mlfp ; BIRNLEX:1708 ; FMA:72493 ; UMLS:C0228440 ; neuronames:600
medial longitudinal fasciculus,SNOMED:28390009,UBERON:0002794,Medial longitudinal fasciculus structure,medial longitudinal fasciculus of the pons,MLF,"Paired longitudinal brainstem tracts running near the midline through all three brainstem segments; composed of ascending and descending fibers coordinating conjugate eye movements via connections between the oculomotor, trochlear, and abducens nuclei. The main intersegmental tract of the brainstem. Lesions produce internuclear ophthalmoplegia, commonly seen in multiple sclerosis.",master_LUT,FMA:83846 ; neuronames:1588
middle longitudinal fasciculus angular,n/a,n/a,,,MdLF-Ang,The angular gyrus subdivision of the middle longitudinal fasciculus; connects the superior temporal gyrus with the inferior parietal lobule (angular gyrus). Identified as a distinct component in Bullock et al. 2019 and Makris et al. 2013. Corresponds to the inferior parietal termination consistent with monkey tract-tracing data.,Pestilli_Brainlife ; Bullock_2022,
middle longitudinal fasciculus superior parietal,n/a,n/a,,,MdLF-SPL,"The superior parietal lobule subdivision of the middle longitudinal fasciculus; connects the superior temporal gyrus with the superior parietal lobule. Described in Bullock et al. 2019 and Makris et al. 2013. This component is debated: monkey tract-tracing does not show strong superior temporal to superior parietal connectivity, raising the possibility of a human-specific pathway or tractography false positive.",Pestilli_Brainlife ; Bullock_2022,
optic radiation,SNOMED:70105001,UBERON:0002934,optic radiation,ventral oculomotor nucleus,Geniculocalcarine tract ; Optic radiation ; Structure of optic radiation,Geniculocalcarine tract carrying visual information from the lateral geniculate nucleus to the primary visual cortex; includes Meyer loop (lower visual field) inferolaterally through temporal lobe,TractSeg ; MGH_HCP ; XTRACT,BIRNLEX:713 ; DHBA:12205 ; FMA:72422 ; HBA:9038 ; UMLS:C0175380 ; neuronames:496
parieto-occipital pontine tract,n/a,n/a,,,POPT,Corticopontine fibers from parietal and occipital cortex projecting to the pontine nuclei via the posterior limb of the internal capsule,TractSeg ; MGH_HCP ; Bullock_2022,
posterior arcuate fasciculus,n/a,n/a,,,pArc,The posterior segment of the arcuate fasciculus connecting posterior superior temporal gyrus with inferior parietal lobule,Pestilli_Brainlife ; Bullock_2022,
reticular tract,n/a,n/a,,,RET,Reticulospinal fibers from the reticular formation of the brainstem descending to the spinal cord; modulates muscle tone and autonomic functions,DSI_Studio,
striato-fronto-orbital tract,n/a,n/a,,,ST_FO,Corticostriatal fibers between orbitofrontal cortex and striatum,TractSeg,
striato-occipital tract,n/a,n/a,,,ST_OCC,Corticostriatal fibers between occipital cortex and striatum,TractSeg,
striato-parietal tract,n/a,n/a,,,ST_PAR,Corticostriatal fibers between parietal cortex and striatum,TractSeg,
striato-postcentral tract,n/a,n/a,,,ST_POSTC,Corticostriatal fibers between somatosensory cortex and striatum,TractSeg,
striato-precentral tract,n/a,n/a,,,ST_PREC,Corticostriatal fibers between primary motor cortex and striatum,TractSeg,
striato-prefrontal tract,n/a,n/a,,,ST_PREF,Corticostriatal fibers between prefrontal cortex and striatum,TractSeg,
striato-premotor tract,n/a,n/a,,,ST_PREM,Corticostriatal fibers between premotor cortex and striatum,TractSeg,
superior cerebellar peduncle,n/a,UBERON:0002250,,popliteal artery,SCP,Primary efferent pathway of the cerebellum; carries dentate nucleus output to the contralateral red nucleus and thalamus,TractSeg ; ICBM-DTI-81,FMA:77155 ; GAID:504 ; MA:0002021 ; MESH:D011150 ; NCIT:C33337 ; SCTID:181350008 ; Wikipedia:Popliteal_artery ; EMAPA:37109 ; UMLS:C0032649
superior longitudinal fasciculus,SNOMED:88442005,UBERON:0022246,Corpus callosum,extreme capsule,SLF,"Large association bundle in the dorsolateral white matter connecting frontal, parietal, temporal and occipital lobes; contains the arcuate fasciculus and subdivides into SLF I-III",AFQ ; ICBM-DTI-81 ; Bullock_2022 ; Pestilli_Brainlife,BAMS:ex ; BAMS:exc ; DHBA:10574 ; FMA:61960 ; HBA:9246 ; NLXANAT:1010014 ; SCTID:279301006 ; Wikipedia:Extreme_capsule ; neuronames:254
superior longitudinal fasciculus I,n/a,n/a,,,SLF-I ; SLF_I,Dorsomedial SLF subdivision connecting precuneus and superior parietal lobule with supplementary motor area and dorsomedial prefrontal cortex,TractSeg ; Bullock_2022 ; XTRACT,
superior longitudinal fasciculus II,n/a,n/a,,,SLF-II ; SLF_II,Middle SLF subdivision connecting angular gyrus with dorsolateral prefrontal cortex,TractSeg ; Bullock_2022 ; XTRACT,
superior longitudinal fasciculus III,n/a,n/a,,,SLF-III ; SLF_III,Ventral SLF subdivision in the frontal and parietal operculum connecting supramarginal gyrus with inferior frontal gyrus,TractSeg ; Bullock_2022 ; XTRACT,
superior thalamic radiation,n/a,n/a,,,STR,Thalamocortical fibers connecting the ventral posterior thalamic nucleus with the primary somatosensory cortex,TractSeg ; XTRACT,
temporo-parietal connection to superior parietal lobule,n/a,n/a,,,TP-SPL,Association fibers connecting superior temporal cortex with the superior parietal lobule,Pestilli_Brainlife ; Bullock_2022,
thalamo-occipital tract,n/a,n/a,,,T_OCC,Thalamocortical fibers connecting the pulvinar with occipital cortex,TractSeg,
thalamo-parietal tract,n/a,n/a,,,T_PAR,Thalamocortical fibers connecting pulvinar and LP nucleus with posterior parietal cortex,TractSeg,
thalamo-postcentral tract,n/a,n/a,,,T_POSTC,Thalamocortical fibers connecting ventral posterior thalamic nucleus with primary somatosensory cortex,TractSeg,
thalamo-precentral tract,n/a,n/a,,,T_PREC,Thalamocortical fibers connecting ventral lateral thalamic nucleus with primary motor cortex,TractSeg,
thalamo-prefrontal tract,n/a,n/a,,,T_PREF,Thalamocortical fibers connecting mediodorsal and anterior thalamic nuclei with prefrontal cortex,TractSeg,
thalamo-premotor tract,n/a,n/a,,,T_PREM,Thalamocortical fibers connecting ventral lateral thalamic nucleus with premotor cortex,TractSeg,
uncinate fasciculus,SNOMED:85637007,UBERON:0003044,Internal capsule,uncinate fasciculus,UF ; UNC,Hook-shaped association bundle connecting the anterior temporal lobe and amygdala with the orbitofrontal cortex via the limen insulae,AFQ ; ICBM-DTI-81 ; Bullock_2022 ; XTRACT,
ventral amygdalofugal pathway,n/a,UBERON:0002981,,pulvinar nucleus,,"Efferent pathway from the amygdala projecting to the hypothalamus, thalamus, and basal forebrain; part of the limbic system",master_LUT ; Bullock_2022,BAMS:PUL ; BAMS:Pul ; BAMS:Pulv ; BIRNLEX:824 ; BM:Die-Th-Pl ; BTO:0004352 ; DHBA:10409 ; EV:0100213 ; FMA:62178 ; GAID:662 ; MESH:D020649 ; SCTID:279157006 ; Wikipedia:Pulvinar_nuclei ; UMLS:C0152347 ; neuronames:328
vertical occipital fasciculus,SNOMED:80434005,n/a,vertical occipital fasciculus,,Perpendicular fasciculus ; Structure of vertical occipital fasciculus ; Vertical occipital fasciculus,Short association tract connecting dorsal and ventral occipital cortex running perpendicular to the calcarine sulcus; described by Wernicke (1881),Pestilli_Brainlife ; Bullock_2022 ; XTRACT,
pontine crossing tract,n/a,n/a,,,PCT,Transverse pontine fibers crossing the midline within the middle cerebellar peduncle; these fibers originate from the pontine nuclei and project to the contralateral cerebellum. In DTI they are identifiable as the decussating component of the MCP and cannot be fully separated from the surrounding peduncle at standard resolution.,ICBM-DTI-81,
body of corpus callosum,n/a,n/a,,,BCC ; CC-BODY,"The central, largest portion of the corpus callosum between the genu and splenium; fibers pass laterally through the corona radiata to connect frontal, parietal and temporal cortices of the two hemispheres. No single UBERON or SNOMED term maps to this undivided body as a distinct ontology class; this label represents the ICBM-DTI-81 atlas parcellation unit.",ICBM-DTI-81,
