clean_label,Id_snomed,Id_uberon,Label_snomed,Label_uberon,synonyms,Definition,to_merge?,source_scheme (toolbox),synonyms.1,Incoming: subClassOf,Annotation: database_cross_reference,Incoming: part of - uberon,Synonyms_uberon,IRI
cingulum hippocampus,n/a,n/a,,,CHippo,Ventral component of the cingulum bundle connecting parahippocampal gyrus to cingulate cortex,,AFQ; ICBM-DTI-81; Bullock_2022,,,DHBA:266441721 ; FMA:75190 ; HBA:265505490 ; SCTID:91366009 ; Wikipedia:Corticopontine_fibers ; neuronames:1322,,cortico-pontine fibers ; cortico-pontine fibers ; pontine part ; corticopontine fibers ; corticopontine fibers of pons ; corticopontine fibers set ; corticopontine fibres ; fibrae corticopontinae ; tractus corticopontinus ; corticopontine ; corticopontine fibres,http://purl.obolibrary.org/obo/UBERON_0022271
cingulum subgenual,n/a,n/a,,,CBS ; SCB,"The ventral-most component of the cingulum bundle curving around the genu of the corpus callosum and extending posteriorly against the subgenual cingulate cortex; carries fibers connecting orbitofrontal and subgenual cingulate cortex with the amygdala, hippocampus and thalamus. A primary target of deep brain stimulation for treatment-resistant major depressive disorder (Mayberg subcallosal cingulate target). Described as a distinct subdivision by Heilbronner and Haber (2014) and Bullock et al. (2022).",,Bullock_2022,,,,,,
commissure anterior,SNOMED:62872008,UBERON:0000935,anterior commissure,anterior commissure,Anterior commissure ; Structure of anterior commissure,"The anterior commissure; connects olfactory bulbs, anterior perforated substance, and temporal lobes across the midline",,TractSeg; Bullock_2022,Corticopontine tract of pons ; Structure of corticopontine tract of pons,Entire anterior commissure ; Entire corticopontine tract of pons,BAMS:AC ; BAMS:AG ; BAMS:Ac ; BAMS:ac ; BIRNLEX:1557 ; BM:Tel-AC ; BTO:0002169 ; DHBA:10559 ; DMBA:17751 ; EMAPA:19038 ; FMA:61961 ; HBA:9221 ; MA:0002722 ; NCIT:C32086 ; NLX:144088 ; SCTID:279313001 ; SCTID:369119009 ; TAO:0001108 ; VHOG:0001558 ; Wikipedia:Anterior_commissure ; ZFA:0001108 ; neuronames:205 ; UMLS:C0152335,"anterior commissure anterior part ; posterior part of anterior commissure ; commissura rostral, pars ventralis ; commissura rostral, pars dorsalis",commissura rostral ; commissura rostralis ; AC ; anterior cerebral commissure ; anterior commissural nucleus ; commissura anterior cerebri ; commissura anterior ; paleocortical commissure ; precommisure ; rostral commissure,http://purl.obolibrary.org/obo/UBERON_0000935
corpus callosum,SNOMED:362354006,UBERON:0002336,Entire corpus callosum,corpus callosum,Entire corpus callosum,"The largest commissural white matter structure of the brain, connecting homologous and heterologous regions of the left and right cerebral hemispheres via approximately 200-300 million myelinated axons; subdivided from anterior to posterior into the rostrum, genu, body, isthmus, and splenium.",,ICBM-DTI-81; Bullock_2022,CC - Corpus callosum ; Corpus callosum structure ; Corpus callosum part,,BAMS:CC ; BAMS:cc ; BIRNLEX:1087 ; BM:Tel-CC ; BTO:0000615 ; CALOHA:TS-0180 ; DHBA:10561 ; EFO:0001390 ; EMAPA:35253 ; EV:0100305 ; FMA:86464 ; GAID:683 ; HBA:9222 ; MA:0000188 ; MAT:0000286 ; MBA:776 ; MESH:D003337 ; MIAA:0000286 ; NCIT:C12446 ; SCTID:362354006 ; VHOG:0001608 ; Wikipedia:Corpus_callosum ; neuronames:191 ; UMLS:C0010090,tapetum of corpus callosum ; body of corpus callosum ; genu of corpus callosum ; rostrum of corpus callosum ; splenium of the corpus callosum ; forceps minor of corpus callosum ; radiation of corpus callosum,callosal commissure,http://purl.obolibrary.org/obo/UBERON_0002336
corpus callosum anterior midbody,n/a,n/a,,,CC_4,Anterior portion of the corpus callosum body at the level of the primary motor cortex,,TractSeg,Corticospinal tract ; Structure of corticospinal tract,Corticospinal tract of internal capsule ; Structure of lateral corticospinal tract ; Structure of spinal ventral corticospinal tract ; Corticospinal tract in brainstem ; Entire corticospinal tract,BAMS:P ; BIRNLEX:1464 ; BM:CST ; BM:Me-PyT ; BTO:0006132 ; DHBA:12776 ; DMBA:17756 ; EMAPA:36600 ; FMA:72634 ; GAID:702 ; HBA:265505574 ; MBA:190 ; MBA:784 ; MESH:D011712 ; SCTID:362325000 ; UMLS:C0034229 ; Wikipedia:Corticospinal_tract ; neuronames:1320 ; neuronames:800,ventral corticospinal tract ; pyramidal decussation ; lateral corticospinal tract,pyramidal tract ; corticospinal fibers ; fasciculus cerebro-spinalis ; fasciculus pyramidalis ; fibrae corticospinales ; pyramid (Willis) ; tractus cortico-spinalis ; tractus corticospinalis ; tractus pyramidalis,http://purl.obolibrary.org/obo/UBERON_0002707
corpus callosum body central,n/a,n/a,,,CC-BODY-C,Central segment of the corpus callosum body,,TRACULA; ICBM-DTI-81; MGH_HCP,Structure of external capsule ; External capsule,Entire external capsule,,,,
corpus callosum body parietal,n/a,n/a,,,CC-BODY-P,Parietal segment of the corpus callosum body,,TRACULA; MGH_HCP,,,BAMS:EC ; BAMS:ec ; DHBA:10573 ; DMBA:17765 ; EMAPA:35331 ; FMA:61959 ; HBA:9243 ; MA:0002896 ; MBA:579 ; NCIT:C32550 ; NLXANAT:1010013 ; SCTID:279300007 ; UMLS:C0152345 ; Wikipedia:External_capsule ; neuronames:253,,brain external capsule ; external capsule ; capsula externa ; corpus callosum external capsule,http://purl.obolibrary.org/obo/UBERON_0004545
corpus callosum body prefrontal,n/a,n/a,,,CC-BODY-PF,Prefrontal segment of the corpus callosum body,,TRACULA; MGH_HCP,Extreme capsule ; Structure of extreme capsule,Entire extreme capsule,BAMS:ex ; BAMS:exc ; DHBA:10574 ; FMA:61960 ; HBA:9246 ; NLXANAT:1010014 ; SCTID:279301006 ; Wikipedia:Extreme_capsule ; neuronames:254,,band of Baillarger ; capsula extrema,http://purl.obolibrary.org/obo/UBERON_0014528
corpus callosum body premotor,n/a,n/a,,,CC-BODY-PM,Premotor segment of the corpus callosum body,,TRACULA; MGH_HCP,Forceps major ; Occipital radiation of corpus callosum ; Posterior forceps ; Structure of forceps major,Entire forceps major,,,,
corpus callosum body temporal,n/a,n/a,,,CC-BODY-T,Temporal segment of the corpus callosum body,,TRACULA; MGH_HCP,,,DHBA:12025 ; FMA:61949 ; SCTID:369201007 ; neuronames:197,,forceps major ; forceps major of corpus callosum ; forceps occipitalis ; major forceps ; occipital forceps ; posterior forceps ; posterior forceps of corpus callosum ; ccs-ma ; corpus callosum ; forceps major ; corpus callosum ; posterior forceps (Arnold) ; forceps major corporis callosi ; forceps major of corpus callosum ; forceps major of the corpus callosum ; forceps occipitalis ; occipital forceps ; posterior forceps ; posterior forceps of the corpus callosum,http://purl.obolibrary.org/obo/UBERON_0034676
corpus callosum genu,SNOMED:279310003,UBERON:0015599,Entire genu of corpus callosum,genu of corpus callosum,Entire genu of corpus callosum,"The anterior, rostral bend of the corpus callosum connecting the two prefrontal cortices",,TractSeg; ICBM-DTI-81; MGH_HCP,Anterior forceps ; Forceps minor ; Parietal radiation of corpus callosum ; Structure of forceps minor,Entire forceps minor,DHBA:10563 ; FMA:61946 ; HBA:9223 ; MBA:1108 ; NCIT:C32675 ; NLX:144462 ; NeuroNamesCNID:176 ; SCTID:279310003 ; UMLS:C0152321 ; Wikipedia:Genu_of_the_corpus_callosum ; neuronames:194,forceps minor of corpus callosum,corpus callosum genu ; corpus callosum ; genu ; genu corporis callosi ; genu corpus callosi ; genu of corpus callosum ; genu of the corpus callosum ; genu ; rostrum of corpus callosum (Mai),http://purl.obolibrary.org/obo/UBERON_0015599
corpus callosum isthmus,SNOMED:369199005,UBERON:0009835,Entire forceps minor,anterior cingulate cortex,Entire forceps minor,The narrow portion of the corpus callosum between the body and splenium; connects superior temporal and posterior parietal areas,,TractSeg,,,BIRNLEX:936 ; BTO:0004249 ; FMA:271599 ; Wikipedia:Anterior_cingulate_cortex,anterior cingulate gyrus ; Brodmann (1909) area 24 ; rostral anterior cingulate cortex ; caudal anterior cingulate cortex,ACC,http://purl.obolibrary.org/obo/UBERON_0009835
corpus callosum posterior midbody,n/a,n/a,,,CC_5,Posterior portion of the corpus callosum body at the level of the primary somatosensory cortex,,TractSeg,,,BAMS:f ; BIRNLEX:705 ; DHBA:10576 ; DMBA:17767 ; EMAPA:35352 ; FMA:61965 ; FMA:83865 ; HBA:9249 ; MA:0002747 ; NCIT:C32289 ; SCTID:279302004 ; UMLS:C0152334 ; UMLS:C0458370 ; Wikipedia:fornix_of_brain ; neuronames:268,precommissural fornix of forebrain ; posterior column of fornix ; body of fornix ; anterior column of fornix ; postcommissural fornix of brain ; hippocampus fimbria,fornix ; brain fornix ; cerebral fornix ; forebrain fornix ; fornix of neuraxis ; neuraxis fornix ; fornix (column and body of fornix) ; fornix cerebri ; fornix hippocampus ; hippocampus fornix,http://purl.obolibrary.org/obo/UBERON_0000052
corpus callosum rostral body,n/a,n/a,,,CC_3,Rostral body of the corpus callosum at the level of the premotor and supplementary motor cortex,,TractSeg,,,,,cingulum (Ammon's horn) ; cingulum (hippocampus) ; cingulum bundle in hippocampus,http://purl.obolibrary.org/obo/UBERON_0022430
corpus callosum rostrum,SNOMED:279311004,UBERON:0015703,Rostrum of corpus callosum (body structure),rostrum of corpus callosum,CC_1,The most anterior and ventral portion of the corpus callosum; connects orbitofrontal regions,,TractSeg; MGH_HCP,Inferior fronto-occipital fasciculus ; Structure of inferior fronto-occipital fasciculus,Entire inferior fronto-occipital fasciculus,DHBA:10562 ; FMA:61945 ; HBA:9226 ; MBA:979 ; NCIT:C33496 ; NeuroNamesCNID:175 ; SCTID:279311004 ; UMLS:C0152322 ; Wikipedia:Rostrum_of_corpus_callosum ; neuronames:193,,corpus callosum rostrum ; corpus callosum ; rostrum ; rostrum corporis callosi ; rostrum corpus callosi ; rostrum of corpus callosum ; rostrum of the corpus callosum ; rostrum,http://purl.obolibrary.org/obo/UBERON_0015703
corpus callosum splenium,SNOMED:369085008,UBERON:0022430,Splenium of corpus callosum (body structure),hippocampus cortex cingulum,CC_7,The posterior bulbous end of the corpus callosum connecting the occipital and posterior parietal lobes; carries visual callosal fibers,,TractSeg; ICBM-DTI-81; MGH_HCP,Inferior longitudinal fasciculus ; Temporooccipital fasciculus ; Structure of inferior longitudinal fasciculus,Entire inferior longitudinal fasciculus,DHBA:10580 ; FMA:77632 ; HBA:9260 ; NeuroNamesCNID:538 ; SCTID:369085008 ; Wikipedia:Inferior_longitudinal_fasciculus ; neuronames:1443,,cingulum (Ammon's horn) ; cingulum (hippocampus) ; cingulum bundle in hippocampus,http://purl.obolibrary.org/obo/UBERON_0022430
corticopontine tract,SNOMED:1296738007,n/a,corticospinal tract,,Corticospinal tract ; Structure of corticospinal tract,Fibers from cortex projecting to the pontine nuclei via the cerebral peduncle; includes frontal (FPT) and parieto-occipital (POPT) components,,DSI_Studio; Bullock_2022,,Corticospinal tract in brainstem ; Corticospinal tract of internal capsule ; Entire corticospinal tract ; Structure of lateral corticospinal tract ; Structure of spinal ventral corticospinal tract,DHBA:12070 ; FMA:77633 ; SCTID:369087000 ; neuronames:1442,,inferior occipitofrontal fasciculus ; fasciculus occipito-frontalis inferior ; fasciculus occipitofrontalis inferior ; inferior fronto-occipital fasciculus ; inferior occipitofrontal fasciculus,http://purl.obolibrary.org/obo/UBERON_0034753
corticospinal tract,n/a,UBERON:0002707,,corticospinal tract,CST,Projection fibers from layer V pyramidal cells of the motor cortex descending through the internal capsule; decussate at the medullary pyramids to control contralateral voluntary movement,,AFQ; ICBM-DTI-81; Bullock_2022,IC - Internal capsule ; Internal capsule ; Internal capsule of brain ; Internal capsule structure of brain ; Internal capsule structure,Entire internal capsule ; Part of internal capsule of brain,BAMS:P ; BIRNLEX:1464 ; BM:CST ; BM:Me-PyT ; DHBA:12776 ; DMBA:17756 ; EMAPA:36600 ; FMA:72634 ; GAID:702 ; HBA:265505574 ; MBA:190 ; MBA:784 ; MESH:D011712 ; SCTID:362325000 ; Wikipedia:Corticospinal_tract ; neuronames:1320 ; BTO:0006132 ; UMLS:C0034229 ; neuronames:800,lateral corticospinal tract ; pyramidal decussation ; ventral corticospinal tract,corticospinal fibers ; fasciculus cerebro-spinalis ; fasciculus pyramidalis ; fibrae corticospinales ; pyramid (Willis) ; pyramidal tract ; tractus cortico-spinalis ; tractus corticospinalis ; tractus pyramidalis,http://purl.obolibrary.org/obo/UBERON_0002707
corticostriatal tract,n/a,n/a,,,CStr,"Fibers from motor, premotor, prefrontal and other cortical areas projecting to the caudate nucleus and putamen",,DSI_Studio,,,BAMS:ic ; BAMS:int ; BIRNLEX:1659 ; BM:IC ; DHBA:10581 ; DMBA:17770 ; EMAPA:18206 ; EMAPA:35437 ; FMA:61950 ; GAID:685 ; HBA:9263 ; MA:0002748 ; MBA:6 ; MESH:D020772 ; NCIT:C13082 ; PBA:10102 ; SCTID:85637007 ; UMLS:C0152341 ; Wikipedia:Internal_capsule,posterior limb of internal capsule ; limb of internal capsule of telencephalon,internal capsule ; brain internal capsule ; internal capsule radiations ; capsula interna,http://purl.obolibrary.org/obo/UBERON_0001887
dentato-rubro-thalamic tract,n/a,n/a,,,DRTT,Cerebellar efferent pathway from the dentate nucleus crossing to the contralateral red nucleus and ventral lateral thalamus; involved in motor coordination,,DSI_Studio; MGH_HCP,,,,,,
entire genu of corpus callosum,n/a,n/a,,,CC_2 ; genu CC,The complete genu of the corpus callosum as defined in the SNOMED full structure label,MERGE INTO corpus callosum genu,master_LUT,,,BAMS:mlfp ; BIRNLEX:1708 ; FMA:72493 ; UMLS:C0228440 ; neuronames:600,,medial longitudinal fasciculus of pons of varolius ; pons medial longitudinal fasciculus ; pons of varolius medial longitudinal fasciculus ; fasciculus longitudinalis medialis (pontis) ; medial longitudinal fasciculus of the pons,http://purl.obolibrary.org/obo/UBERON_0002794
extreme capsule,n/a,UBERON:0014528,,extreme capsule,EmC,White matter lateral to the claustrum and medial to the insula; contains short and long association fibers connecting frontal and temporal lobes,,TRACULA; MGH_HCP; Bullock_2022,Olfactory tract ; Olfactory tract structure,Structure of olfactory trigone ; Entire olfactory tract ; Olfactory striae ; Olfactory gyrus,BAMS:ex ; BAMS:exc ; DHBA:10574 ; FMA:61960 ; HBA:9246 ; NLXANAT:1010014 ; SCTID:279301006 ; Wikipedia:Extreme_capsule ; neuronames:254,,band of Baillarger ; capsula extrema,http://purl.obolibrary.org/obo/UBERON_0014528
fornix,SNOMED:87463005,UBERON:0000022,Cerebral fornix,feather,Fornix ; Cerebral fornix structure,"The major efferent tract of the hippocampus, arching from the hippocampus under the corpus callosum to the mammillary bodies and septal nuclei",,TractSeg; ICBM-DTI-81; Bullock_2022,Geniculocalcarine tract ; Optic radiation ; Structure of optic radiation,Entire cerebral fornix ; Entire optic radiation ; Structure of columns of fornix ; Structure of crus of fornix ; Structure of fornix of hypothalamus ; Structure of hippocampal commissure ; auricular feather ; blood feather ; breast feather ; dorsal feather ; down feather ; filoplume feather ; forelimb feather ; hindlimb feather ; rictal bristle ; tail feather ; vaned feather,BTO:0000447 ; EFO:0000955 ; GAID:1214 ; MAT:0000156 ; MESH:D005241 ; SCTID:410027006 ; Wikipedia:Feather,afterfeather ; feather barb ; feather barbule ; feather shaft ; feather barbicel,Gratiolet's radiation ; archambault%27s loop ; genicula-celcarine tract ; geniculo-calcarine tract ; geniculocalcarine tract ; geniculostriate pathway ; meyer's loop ; optic radiations ; radiatio optica ; railroad nystagmus,http://purl.obolibrary.org/obo/UBERON_0000022
fornix cres stria terminalis,n/a,n/a,,,FX/ST,A compound ICBM-DTI-81 atlas label covering fibers of the fimbria-fornix and stria terminalis that cannot be resolved as separate structures at standard DTI resolution. The stria terminalis runs along the medial aspect of the caudate nucleus carrying amygdalofugal fibers to the hypothalamus and bed nucleus of the stria terminalis. Labeled as a combined entry in ICBM-DTI-81 because both structures share the same spatial volume at 1-2mm isotropic resolution.,,ICBM-DTI-81,,,FMA:61964 ; neuronames:270,,,
frontal aslant tract,n/a,n/a,,,FAT,Short association tract connecting the supplementary motor area and presupplementary motor area with the inferior frontal gyrus; involved in speech initiation and verbal fluency,,TRACULA; MGH_HCP,,,FMA:76975,,thalamus radiation ; thalamic radiation,http://purl.obolibrary.org/obo/UBERON_0034745
fronto-pontine tract,n/a,n/a,,,FPT,,,TractSeg; MGH_HCP; Bullock_2022,,,DHBA:12082 ; FMA:277107 ; HBA:265505286,,sst,http://purl.obolibrary.org/obo/UBERON_0035931
inferior cerebellar peduncle,n/a,UBERON:0002163,,inferior cerebellar peduncle,ICP,Carries afferents to the cerebellum from the spinal cord (spinocerebellar) and brainstem (olivocerebellar); also contains efferent fibers,,TractSeg; ICBM-DTI-81,,,BAMS:icp ; BIRNLEX:1691 ; BM:RB ; DHBA:12741 ; DMBA:17772 ; FMA:72615 ; HBA:9291 ; MA:0002744 ; MBA:1123 ; NIFSTD_RETIRED:birnlex_1645 ; SCTID:362418008 ; Wikipedia:Inferior_cerebellar_peduncle ; UMLS:C0152393 ; neuronames:781,juxtarestiform body,corpus restiforme ; crus cerebelli ad medullam oblongatam ; crus medullo-cerebellare ; inferior cerebellar peduncle (Ridley) ; inferior cerebellar peduncle (restiform body) ; inferior peduncle ; pedunculus cerebellaris caudalis ; pedunculus cerebellaris inferior ; restiform body,http://purl.obolibrary.org/obo/UBERON_0002163
inferior fronto-occipital fasciculus,n/a,UBERON:0022271,,corticopontine fibers,IFO ; IFOF,Long association bundle passing through the external/extreme capsule connecting frontal lobe with occipital and posterior temporal cortex; runs ventral to the uncinate fasciculus,,AFQ; ICBM-DTI-81; JHU_Tractography; Bullock_2022; Bullock_2019_Brainlife,Superior fronto-occipital fasciculus ; Structure of superior fronto-occipital fasciculus,Entire superior fronto-occipital fasciculus,DHBA:266441721 ; FMA:75190 ; HBA:265505490 ; SCTID:91366009 ; Wikipedia:Corticopontine_fibers ; neuronames:1322,,corticopontine fibers of pons ; cortico-pontine fibers ; cortico-pontine fibers ; pontine part ; corticopontine fibers set ; corticopontine fibers ; corticopontine fibres ; corticopontine ; fibrae corticopontinae ; tractus corticopontinus,http://purl.obolibrary.org/obo/UBERON_0022271
inferior longitudinal fasciculus,n/a,UBERON:0034743,,inferior longitudinal fasciculus,ILF,Long association bundle along the lateral temporal and occipital lobes connecting occipital cortex with the temporal pole and amygdala,,AFQ; ICBM-DTI-81; JHU_Tractography; Bullock_2022; Bullock_2019_Brainlife,Arcuate fasciculus ; Superior longitudinal fasciculus ; Structure of superior longitudinal fasciculus,Entire superior longitudinal fasciculus,DHBA:10580 ; FMA:77632 ; HBA:9260 ; NeuroNamesCNID:538 ; SCTID:369085008 ; Wikipedia:Inferior_longitudinal_fasciculus ; neuronames:1443,arcuate fasciculus ; temporal part of superior longitudinal fasciculus,external sagittal stratum ; fasciculus fronto-occipitalis inferior ; fasciculus longitudinalis inferior ; ilf,http://purl.obolibrary.org/obo/UBERON_0034743
Internal capsule,n/a,UBERON:0001887,,internal capsule of telencephalon,IC; ALIC; PLIC,"Large paired white matter structure positioned between the caudate nucleus and thalamus medially and the lentiform nucleus laterally; carries all ascending and descending projection fibers between the cerebral cortex and subcortical structures including the thalamus, brainstem and spinal cord. Divided into the anterior limb, genu, and posterior limb, with retrolenticular and sublenticular extensions.",,ICBM-DTI-81,,,BAMS:ic ; BAMS:int ; BIRNLEX:1659 ; BM:IC ; DHBA:10581 ; DMBA:17770 ; EMAPA:18206 ; EMAPA:35437 ; FMA:61950 ; GAID:685 ; HBA:9263 ; MA:0002748 ; MBA:6 ; MESH:D020772 ; NCIT:C13082 ; PBA:10102 ; SCTID:85637007 ; Wikipedia:Internal_capsule ; UMLS:C0152341,limb of internal capsule of telencephalon ; posterior limb of internal capsule,internal capsule radiations ; brain internal capsule ; capsula interna ; internal capsule,http://purl.obolibrary.org/obo/UBERON_0001887
