clean_label,Id_snomed,Id_uberon,Label_snomed,Label_uberon,Definition,synonyms,source
cingulum temporal,,,,,"The temporal subsection of the cingulum bundle running along the parahippocampal gyrus into the temporal lobe; connects posterior cingulate and retrosplenial cortex with the temporal pole, entorhinal cortex, and perirhinal cortex. Defined as a distinct subdivision in the XTRACT atlas (Warrington et al. 2020). Distinguished from the ventral/hippocampal cingulum by its more anterior temporal termination pattern.",CBT,XTRACT
corpus callosum,SNOMED:362354006,UBERON:0002336,Entire corpus callosum,corpus callosum,"The largest commissural white matter structure of the brain, connecting homologous and heterologous regions of the left and right cerebral hemispheres via approximately 200-300 million myelinated axons; subdivided from anterior to posterior into the rostrum, genu, body, isthmus, and splenium.",Entire corpus callosum,ICBM-DTI-81 ; Bullock_2022
corpus callosum anterior midbody,,,,,Anterior portion of the corpus callosum body at the level of the primary motor cortex,CC_4,TractSeg
corpus callosum body central,,,,,Central segment of the corpus callosum body,CC-BODY-C,TRACULA ; ICBM-DTI-81 ; MGH_HCP
corpus callosum body parietal,,,,,Parietal segment of the corpus callosum body,CC-BODY-P,TRACULA ; MGH_HCP
corpus callosum body prefrontal,,,,,Prefrontal segment of the corpus callosum body,CC-BODY-PF,TRACULA ; MGH_HCP
corpus callosum body premotor,,,,,Premotor segment of the corpus callosum body,CC-BODY-PM,TRACULA ; MGH_HCP
corpus callosum body temporal,,,,,Temporal segment of the corpus callosum body,CC-BODY-T,TRACULA ; MGH_HCP
corpus callosum genu,SNOMED:279310003,UBERON:0015599,Entire genu of corpus callosum,genu of corpus callosum,"The anterior, rostral bend of the corpus callosum connecting the two prefrontal cortices",Entire genu of corpus callosum,TractSeg ; ICBM-DTI-81 ; MGH_HCP
corpus callosum isthmus,,UBERON:0009835,,isthmus of corpus callosum,The narrow portion of the corpus callosum between the body and splenium; connects superior temporal and posterior parietal areas,CC_6,TractSeg
corpus callosum posterior midbody,,,,,Posterior portion of the corpus callosum body at the level of the primary somatosensory cortex,CC_5,TractSeg
corpus callosum rostral body,,,,,Rostral body of the corpus callosum at the level of the premotor and supplementary motor cortex,CC_3,TractSeg
corpus callosum rostrum,SNOMED:279311004,UBERON:0015703,Rostrum of corpus callosum (body structure),rostrum of corpus callosum,The most anterior and ventral portion of the corpus callosum; connects orbitofrontal regions,CC_1,TractSeg ; MGH_HCP
corpus callosum splenium,SNOMED:369085008,UBERON:0022430,Splenium of corpus callosum (body structure),splenium of corpus callosum,The posterior bulbous end of the corpus callosum connecting the occipital and posterior parietal lobes; carries visual callosal fibers,CC_7,TractSeg ; ICBM-DTI-81 ; MGH_HCP
corticopontine tract,SNOMED:1296738007,,corticospinal tract,,Fibers from cortex projecting to the pontine nuclei via the cerebral peduncle; includes frontal (FPT) and parieto-occipital (POPT) components,CPT ; FPT,DSI_Studio ; Bullock_2022
corticospinal tract,,UBERON:0002707,,corticospinal tract,Projection fibers from layer V pyramidal cells of the motor cortex descending through the internal capsule; decussate at the medullary pyramids to control contralateral voluntary movement,CST,AFQ ; ICBM-DTI-81 ; Bullock_2022 ; XTRACT
corticostriatal tract,,,,,"Fibers from motor, premotor, prefrontal and other cortical areas projecting to the caudate nucleus and putamen",CStr,DSI_Studio
dentato-rubro-thalamic tract,,,,,Cerebellar efferent pathway from the dentate nucleus crossing to the contralateral red nucleus and ventral lateral thalamus; involved in motor coordination,DRTT,DSI_Studio ; MGH_HCP
extreme capsule,,UBERON:0014528,,extreme capsule,White matter lateral to the claustrum and medial to the insula; contains short and long association fibers connecting frontal and temporal lobes,EmC,TRACULA ; MGH_HCP ; Bullock_2022
fornix,SNOMED:87463005,UBERON:0000022,Cerebral fornix,fornix,"The major efferent tract of the hippocampus, arching from the hippocampus under the corpus callosum to the mammillary bodies and septal nuclei",FX,TractSeg ; ICBM-DTI-81 ; Bullock_2022 ; XTRACT
fornix cres stria terminalis,,,,,A ICBM-DTI-81 atlas label covering fibers of the fimbria-fornix and stria terminalis that cannot be resolved as separate structures at standard DTI resolution. The stria terminalis runs along the medial aspect of the caudate nucleus carrying amygdalofugal fibers to the hypothalamus and bed nucleus of the stria terminalis. Labeled as a combined entry in ICBM-DTI-81 because both structures share the same spatial volume at 1-2mm isotropic resolution.,FX/ST ; ST,ICBM-DTI-81
frontal aslant tract,,,,,Short association tract connecting the supplementary motor area and presupplementary motor area with the inferior frontal gyrus; involved in speech initiation and verbal fluency,FAT,TRACULA ; MGH_HCP ; XTRACT
fronto-pontine tract,,,,,,FPT,TractSeg ; MGH_HCP ; Bullock_2022
inferior cerebellar peduncle,,UBERON:0002163,,inferior cerebellar peduncle,Carries afferents to the cerebellum from the spinal cord (spinocerebellar) and brainstem (olivocerebellar); also contains efferent fibers,ICP,TractSeg ; ICBM-DTI-81
inferior fronto-occipital fasciculus,,UBERON:0022271,,corticopontine fibers,Long association bundle passing through the external/extreme capsule connecting frontal lobe with occipital and posterior temporal cortex; runs ventral to the uncinate fasciculus,IFO ; IFOF,AFQ ; ICBM-DTI-81 ; JHU_Tractography ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT
inferior longitudinal fasciculus,,UBERON:0034743,,inferior longitudinal fasciculus,Long association bundle along the lateral temporal and occipital lobes connecting occipital cortex with the temporal pole and amygdala,ILF,AFQ ; ICBM-DTI-81 ; JHU_Tractography ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT
Internal capsule,,UBERON:0001887,,internal capsule of telencephalon,"Large paired white matter structure positioned between the caudate nucleus and thalamus medially and the lentiform nucleus laterally; carries all ascending and descending projection fibers between the cerebral cortex and subcortical structures including the thalamus, brainstem and spinal cord. Divided into the anterior limb, genu, and posterior limb, with retrolenticular and sublenticular extensions.",ALIC ; IC ; PLIC,ICBM-DTI-81
anterior limb of internal capsule,,,,,"The anterior subdivision of the internal capsule lying between the head of the caudate nucleus and the anterior lentiform nucleus; carries frontopontine fibers, corticostriatal fibers, and the anterior thalamic radiation connecting mediodorsal and anterior thalamic nuclei with prefrontal and anterior cingulate cortex. A major target for deep brain stimulation and capsulotomy in treatment-resistant OCD and depression.",ALIC,ICBM-DTI-81 ; Bullock_2022
posterior limb of internal capsule,,UBERON:0014527,,posterior limb of internal capsule,"The posterior subdivision of the internal capsule lying between the thalamus and the posterior lentiform nucleus; carries the corticospinal and corticobulbar tracts, superior thalamic radiation, and parietopontine and temporopontine fibers. Damage produces contralateral hemiplegia; the posterior limb is the most clinically critical segment of the internal capsule.",PLIC,ICBM-DTI-81 ; Bullock_2022
retrolenticular part of internal capsule,,,,,"The portion of the internal capsule posterior to the lentiform nucleus; carries the posterior thalamic radiation including the optic radiation from the lateral geniculate nucleus, and parietopontine and occipito-pontine fibers. Damage produces contralateral hemianopia.",RLIC,ICBM-DTI-81
medial forebrain bundle,,UBERON:0001882,,nucleus accumbens,"A complex bundle of fibers connecting the olfactory regions, hypothalamus, and midbrain; includes dopaminergic projections of the reward system",,Bullock_2022
medial lemniscus,SNOMED:30114003,UBERON:0003002,Medial lemniscus,medial lemniscus,Sensory pathway carrying discriminative touch and proprioception from the contralateral body; ascends through the brainstem to the thalamus,Lemniscus medialis ; Medial lemniscus ; Medial lemniscus structure,DSI_Studio ; ICBM-DTI-81
middle cerebellar peduncle,,UBERON:0002152,,middle cerebellar peduncle,The largest cerebellar peduncle; carries pontocerebellar fibers from the contralateral pontine nuclei to the cerebellar cortex,MCP,TractSeg ; ICBM-DTI-81 ; XTRACT
middle longitudinal fasciculus,,UBERON:0034753,,middle longitudinal fasciculus,Association bundle connecting the superior temporal gyrus with the parietal lobe; involved in auditory and language processing,MLF ; MdLF,TractSeg ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT
medial longitudinal fasciculus,SNOMED:28390009,UBERON:0002794,Medial longitudinal fasciculus structure,medial longitudinal fasciculus of the pons,"Paired longitudinal brainstem tracts running near the midline through all three brainstem segments; composed of ascending and descending fibers coordinating conjugate eye movements via connections between the oculomotor, trochlear, and abducens nuclei. The main intersegmental tract of the brainstem. Lesions produce internuclear ophthalmoplegia, commonly seen in multiple sclerosis.",MLF,ICBM-DTI-81
middle longitudinal fasciculus angular,,,,,The angular gyrus subdivision of the middle longitudinal fasciculus; connects the superior temporal gyrus with the inferior parietal lobule (angular gyrus). Identified as a distinct component in Bullock et al. 2019 and Makris et al. 2013. Corresponds to the inferior parietal termination consistent with monkey tract-tracing data.,MdLF-Ang,Pestilli_Brainlife ; Bullock_2022
middle longitudinal fasciculus superior parietal,,,,,"The superior parietal lobule subdivision of the middle longitudinal fasciculus; connects the superior temporal gyrus with the superior parietal lobule. Described in Bullock et al. 2019 and Makris et al. 2013. This component is debated: monkey tract-tracing does not show strong superior temporal to superior parietal connectivity, raising the possibility of a human-specific pathway or tractography false positive.",MdLF-SPL,Pestilli_Brainlife ; Bullock_2022
optic radiation,SNOMED:70105001,UBERON:0002934,optic radiation,optic radiation,Geniculocalcarine tract carrying visual information from the lateral geniculate nucleus to the primary visual cortex; includes Meyer loop (lower visual field) inferolaterally through temporal lobe,Geniculocalcarine tract ; Optic radiation ; Structure of optic radiation,TractSeg ; MGH_HCP ; XTRACT
parieto-occipital pontine tract,,,,,Corticopontine fibers from parietal and occipital cortex projecting to the pontine nuclei via the posterior limb of the internal capsule,POPT,TractSeg ; MGH_HCP ; Bullock_2022
posterior arcuate fasciculus,,,,,The posterior segment of the arcuate fasciculus connecting posterior superior temporal gyrus with inferior parietal lobule,pArc,Pestilli_Brainlife ; Bullock_2022
reticular tract,,,,,Reticulospinal fibers from the reticular formation of the brainstem descending to the spinal cord; modulates muscle tone and autonomic functions,RET,DSI_Studio
striato-fronto-orbital tract,,,,,Corticostriatal fibers between orbitofrontal cortex and striatum,ST_FO,TractSeg
striato-occipital tract,,,,,Corticostriatal fibers between occipital cortex and striatum,ST_OCC,TractSeg
striato-parietal tract,,,,,Corticostriatal fibers between parietal cortex and striatum,ST_PAR,TractSeg
striato-postcentral tract,,,,,Corticostriatal fibers between somatosensory cortex and striatum,ST_POSTC,TractSeg
striato-precentral tract,,,,,Corticostriatal fibers between primary motor cortex and striatum,ST_PREC,TractSeg
striato-prefrontal tract,,,,,Corticostriatal fibers between prefrontal cortex and striatum,ST_PREF,TractSeg
striato-premotor tract,,,,,Corticostriatal fibers between premotor cortex and striatum,ST_PREM,TractSeg
superior cerebellar peduncle,,UBERON:0002250,,superior cerebellar peduncle,Primary efferent pathway of the cerebellum; carries dentate nucleus output to the contralateral red nucleus and thalamus,SCP,TractSeg ; ICBM-DTI-81
superior longitudinal fasciculus,SNOMED:88442005,UBERON:0022246,Superior longitudinal fasciculus,superior longitudinal fasciculus,"Large association bundle in the dorsolateral white matter connecting frontal, parietal, temporal and occipital lobes; contains the arcuate fasciculus and subdivides into SLF I-III",SLF,AFQ ; ICBM-DTI-81 ; Bullock_2022 ; Pestilli_Brainlife
superior longitudinal fasciculus I,,,,,Dorsomedial SLF subdivision connecting precuneus and superior parietal lobule with supplementary motor area and dorsomedial prefrontal cortex,SLF-I ; SLF_I,TractSeg ; Bullock_2022 ; XTRACT
superior longitudinal fasciculus II,,,,,Middle SLF subdivision connecting angular gyrus with dorsolateral prefrontal cortex,SLF-II ; SLF_II,TractSeg ; Bullock_2022 ; XTRACT
superior longitudinal fasciculus III,,,,,Ventral SLF subdivision in the frontal and parietal operculum connecting supramarginal gyrus with inferior frontal gyrus,SLF-III ; SLF_III,TractSeg ; Bullock_2022 ; XTRACT
superior thalamic radiation,,,,,Thalamocortical fibers connecting the ventral posterior thalamic nucleus with the primary somatosensory cortex,STR,TractSeg ; XTRACT
temporo-parietal connection to superior parietal lobule,,,,,Association fibers connecting superior temporal cortex with the superior parietal lobule,TP-SPL,Pestilli_Brainlife ; Bullock_2022
thalamo-occipital tract,,,,,Thalamocortical fibers connecting the pulvinar with occipital cortex,T_OCC,TractSeg
thalamo-parietal tract,,,,,Thalamocortical fibers connecting pulvinar and LP nucleus with posterior parietal cortex,T_PAR,TractSeg
thalamo-postcentral tract,,,,,Thalamocortical fibers connecting ventral posterior thalamic nucleus with primary somatosensory cortex,T_POSTC,TractSeg
thalamo-precentral tract,,,,,Thalamocortical fibers connecting ventral lateral thalamic nucleus with primary motor cortex,T_PREC,TractSeg
thalamo-prefrontal tract,,,,,Thalamocortical fibers connecting mediodorsal and anterior thalamic nuclei with prefrontal cortex,T_PREF,TractSeg
thalamo-premotor tract,,,,,Thalamocortical fibers connecting ventral lateral thalamic nucleus with premotor cortex,T_PREM,TractSeg
uncinate fasciculus,SNOMED:85637007,UBERON:0003044,uncinate fasciculus,uncinate fasciculus,Hook-shaped association bundle connecting the anterior temporal lobe and amygdala with the orbitofrontal cortex via the limen insulae,UF ; UNC,AFQ ; ICBM-DTI-81 ; Bullock_2022 ; XTRACT
ventral amygdalofugal pathway,,UBERON:0002981,,pulvinar nucleus,"Efferent pathway from the amygdala projecting to the hypothalamus, thalamus, and basal forebrain; part of the limbic system",,Bullock_2022
vertical occipital fasciculus,SNOMED:80434005,,vertical occipital fasciculus,,Short association tract connecting dorsal and ventral occipital cortex running perpendicular to the calcarine sulcus; described by Wernicke (1881),Perpendicular fasciculus ; Structure of vertical occipital fasciculus ; Vertical occipital fasciculus,Pestilli_Brainlife ; Bullock_2022 ; XTRACT
pontine crossing tract,,,,,Transverse pontine fibers crossing the midline within the middle cerebellar peduncle; these fibers originate from the pontine nuclei and project to the contralateral cerebellum. In DTI they are identifiable as the decussating component of the MCP and cannot be fully separated from the surrounding peduncle at standard resolution.,PCT,ICBM-DTI-81
body of corpus callosum,,,,,"The central, largest portion of the corpus callosum between the genu and splenium; fibers pass laterally through the corona radiata to connect frontal, parietal and temporal cortices of the two hemispheres. No single UBERON or SNOMED term maps to this undivided body as a distinct ontology class; this label represents the ICBM-DTI-81 atlas parcellation unit.",BCC ; CC-BODY,ICBM-DTI-81
cerebral peduncle,SNOMED:362391000,UBERON:0002594,Entire cerebral peduncle,cerebral peduncle,"Paired structures at the base of the midbrain formed by corticospinal, corticobulbar and corticopontine fibers descending from the internal capsule; each peduncle consists of the crus cerebri anteriorly and the tegmentum posteriorly.",Entire cerebral peduncle,ICBM-DTI-81
corona radiata,,UBERON:0004682,,corona radiata of neuraxis,"Fan-shaped mass of white matter fibers that radiate from the internal capsule to all parts of the cerebral cortex; represents the superior continuation of the internal capsule where the projection fibers spread out. Divided by convention into anterior, superior, and posterior subdivisions at the level of the corpus callosum genu and splenium.",CR,ICBM-DTI-81
anterior corona radiata,,,,,The anterior subdivision of the corona radiata containing thalamocortical and corticothalamic fibers connecting the anterior thalamic nucleus and mediodorsal thalamic nucleus with the prefrontal and anterior cingulate cortex; bounded posteriorly at the level of the posterior edge of the genu of the corpus callosum.,ACR,ICBM-DTI-81
superior corona radiata,,,,,The superior subdivision of the corona radiata comprising projection fibers between the motor and sensory cortices and the thalamus; bounded anteriorly at the posterior edge of the genu and posteriorly at the anterior edge of the splenium of the corpus callosum.,SCR,ICBM-DTI-81
posterior corona radiata,,,,,The posterior subdivision of the corona radiata containing fibers from the posterior parietal and occipital cortices projecting to and from the posterior thalamus; overlaps spatially with the superior longitudinal fasciculus and posterior thalamic radiation at its margins.,PCR,ICBM-DTI-81
posterior thalamic radiation,,UBERON:0034747,,posterior thalamic radiation,"Thalamocortical fibers connecting the posterior thalamus (pulvinar, lateral geniculate nucleus) with the parietal, occipital and posterior temporal cortices; includes the optic radiation as its ventral component. In the ICBM-DTI-81 atlas this label explicitly encompasses the optic radiation.",PTR,ICBM-DTI-81
sagittal stratum,,,,,A sheet of white matter in the temporal and occipital lobes containing the inferior longitudinal fasciculus and inferior fronto-occipital fasciculus running in parallel; in the ICBM-DTI-81 atlas this label bundles both tracts together as they cannot be resolved separately at standard DTI resolution.,SS,ICBM-DTI-81
external capsule,SNOMED:279300007,UBERON:0004545,External capsule,external capsule of telencephalon,A sheet of white matter lateral to the putamen and medial to the claustrum; contains cortical association fibers including components of the inferior fronto-occipital fasciculus and uncinate fasciculus passing between frontal and temporal lobes.,External capsule ; Structure of external capsule,ICBM-DTI-81 ; Bullock_2022
muratoff bundle,,,,,"White matter bundle running dorsal to the caudate nucleus and curving around its upper edge; carries corticostriatal fibers primarily from dorsal prefrontal, anterior cingulate, and association cortices to the caudate nucleus. Distinguished from the external capsule in that Muratoff's bundle fibers more commonly terminate in the caudate whereas external capsule fibers more commonly terminate in the putamen. Discussed in Bullock et al. 2022 as distinct from the external capsule and superior fronto-occipital fasciculus.",MB ; Muratoff's bundle,Bullock_2022
superior fronto-occipital fasciculus,,UBERON:0022250,,superior fronto-occipital fasciculus,"A white matter bundle running along the dorsomedial margin of the internal capsule connecting frontal lobe with posterior cortical areas; its anatomical independence from the anterior limb of the internal capsule is debated, and in the ICBM-DTI-81 atlas it is explicitly noted as possibly representing part of the anterior internal capsule rather than a distinct fasciculus.",SFO ; SFOF,ICBM-DTI-81
tapetum,,UBERON:0000373,,tapetum of corpus callosum,Callosal fibers from the body and splenium of the corpus callosum that sweep laterally to form the roof and lateral walls of the occipital and temporal horns of the lateral ventricles; lies immediately adjacent to the ependyma of the ventricle.,TAP,ICBM-DTI-81
superior longitudinal fasciculus temporal part,,,,,The temporal component of the superior longitudinal fasciculus connecting posterior superior temporal gyrus and angular gyrus with inferior frontal and prefrontal cortex; corresponds to the arcuate fasciculus in many classification schemes. Identified as a distinct probabilistic label in the JHU White Matter Tractography Atlas.,SLF-T ; tSLF,JHU_Tractography
