Id,Label,Synonyms,Annotation: alternative label,Annotation: preferred label,Incoming: subClassOf,Outgoing: Subclass Of,Outgoing: hierarchicalAncestors,Outgoing: hierarchicalChildren,Outgoing: hierarchicalDescendants,clean_label,Abbreviation,Id_snomed,Id_uberon,Label_uberon,Label_snomed,to_merge?,Definition,LLM_definition,Similar Entity,synonyms,Annotation: database_cross_reference,Incoming: part of - uberon,Synonyms_uberon,IRI,Annotation: depiction,Annotation: editor note,Annotation: external_definition,Annotation: external_ontology_notes,Annotation: homology_notes,Annotation: id,Annotation: present in taxon,Incoming: BFO 0000051,Incoming: RO 0002005,Incoming: RO 0002433,Incoming: part of,Incoming: rdf-schema#subClassOf,Incoming: results in morphogenesis of,Outgoing: Subclass Of (Is A),Outgoing: ancestors,Outgoing: branching part of,Outgoing: capable of part of,Outgoing: children,Outgoing: contributes to morphology of,Outgoing: descendants,Outgoing: develops from,Outgoing: in anterior side of,Outgoing: in posterior side of,Outgoing: in taxon,Outgoing: innervates,Outgoing: parents,Outgoing: part of
UBERON:0015599,genu of corpus callosum,"corpus callosum genu ; corpus callosum, genu ; genu ; genu corporis callosi ; genu corpus callosi ; genu of corpus callosum ; genu of the corpus callosum ; rostrum of corpus callosum (Mai)",,,,,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants,,,,,,,,"Part of corpus callosum comprising the 'kneelike' anterior bend (adapted from Nolte, The Human Brain, 6th ed., 2009 pg 664).",,,None,DHBA:10563 ; FMA:61946 ; HBA:9223 ; MBA:1108 ; NCIT:C32675 ; NLX:144462 ; NeuroNamesCNID:176 ; SCTID:279310003 ; UMLS:C0152321 ; Wikipedia:Genu_of_the_corpus_callosum ; neuronames:194,,,http://purl.obolibrary.org/obo/UBERON_0015599,,,,,,UBERON:0015599,,,,,forceps minor of corpus callosum,,,hierarchicalParents,ancestors,,,children,,descendants,,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBSPO_0000123,,,,parents,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050
UBERON:0015708,splenium of the corpus callosum,"splenium ; corpus callosum splenium ; corpus callosum, splenium ; corpus callosum splenium ; corpus callosum, splenium ; corpus callosum, splenium (Burdach) ; splenium corporis callosi ; splenium corpus callosi ; splenium of corpus callosum ; splenium of the corpus callosum",,,,,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants,,,,,,,,"The posterior end of the corpus callosum. It overlaps the tela chorioidea of the third ventricle and the mid-brain, and ends in a thick, convex, free border.",,,None,DHBA:10565 ; FMA:61948 ; HBA:9225 ; MBA:986 ; NCIT:C33610 ; NeuroNamesCNID:178 ; SCTID:362355007 ; UMLS:C0152319 ; Wikipedia:Splenium ; neuronames:196,,,http://purl.obolibrary.org/obo/UBERON_0015708,,,,,,UBERON:0015708,,,,,forceps major of corpus callosum,,,hierarchicalParents,ancestors,,,children,,descendants,,,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBSPO_0000122,,,parents,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050
UBERON:0002163,inferior cerebellar peduncle,corpus restiforme ; restiform body ; crus cerebelli ad medullam oblongatam ; crus medullo-cerebellare ; inferior cerebellar peduncle (Ridley) ; inferior cerebellar peduncle (restiform body) ; inferior peduncle ; pedunculus cerebellaris caudalis ; pedunculus cerebellaris inferior,,,,,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants,,,,,,,,"Regional part of medullary white matter (according to Neuronames) primarily found at the level of the open medulla, consisting of a large bundle of fibers projecting to and projecting from the cerebellum. The icp is continuous with the dorsal spinocerebellar tract and also contains a large number of fibers originating in the inferior olivary complex (MM).",,,None,BAMS:icp ; BIRNLEX:1691 ; BM:RB ; DHBA:12741 ; DMBA:17772 ; FMA:72615 ; HBA:9291 ; MA:0002744 ; MBA:1123 ; NIFSTD_RETIRED:birnlex_1645 ; SCTID:362418008 ; UMLS:C0152393 ; Wikipedia:Inferior_cerebellar_peduncle ; neuronames:781,,,http://purl.obolibrary.org/obo/UBERON_0002163,http://upload.wikimedia.org/wikipedia/commons/f/fc/Gray677.png,,,,,UBERON:0002163,http://purl.obolibrary.org/obo/NCBITaxon_9606,,,,juxtarestiform body,,,hierarchicalParents,ancestors,,,children,,descendants,,,,,,parents,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050
UBERON:0002152,middle cerebellar peduncle,brachium pontis ; brachium pontis (stem of middle cerebellar peduncle) ; crus cerebelli ad pontem ; crus ponto-cerebellare ; mid-cerebellar peduncle ; pedunculus cerebellaris medialis ; pedunculus cerebellaris medius ; pedunculus cerebellaris pontinus,,,,,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants,,,,,,,,"Regional part of medullary white matter (according to Neuronames) primarily found at the level of the pons, consisting of a very large bundle of fibers originating in the pontine nuclei projecting to the cerebellum (MM).",,,None,BAMS:BP ; BAMS:bp ; BAMS:mcp ; BIRNLEX:1529 ; BM:Pons-BP ; DHBA:12768 ; FMA:72515 ; HBA:9294 ; MA:0002745 ; MBA:78 ; MESH:D065837 ; NIFSTD_RETIRED:birnlex_1699 ; SCTID:279219000 ; UMLS:C0152392 ; Wikipedia:Middle_cerebellar_peduncle ; neuronames:620,,,http://purl.obolibrary.org/obo/UBERON_0002152,http://upload.wikimedia.org/wikipedia/commons/2/2b/Gray705.png,,,,,UBERON:0002152,http://purl.obolibrary.org/obo/NCBITaxon_9606,basal part of pons,,,pontocerebellar tract,,,hierarchicalParents,ancestors,,,children,,descendants,,,,,,parents,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050
UBERON:0002150,superior cerebellar peduncle,"brachium conjunctivum ; crus cerebello-cerebrale ; pedunculus cerebellaris cranialis ; pedunculus cerebellaris rostralis ; pedunculus cerebellaris superior ; scp ; superior cerebelar peduncles ; superior cerebellar peduncle (Galen, Stilling) ; superior cerebellar peduncle (brachium conjuctivum) ; superior cerebellar peduncle (brachium conjunctivum) ; superior peduncle ; tractus cerebello-rubralis ; tractus cerebello-tegmentalis mesencephali",,,,,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants,,,,,,,,"A composite structure of the brain stem, which in NeuroNames is subdivided into the superior cerebellar peduncle of pons, the decussation of superior cerebellar peduncle and the superior cerebellar peduncle of midbrain (MM).",,,None,BAMS:5 ; BAMS:scp ; BIRNLEX:1711 ; BM:BC ; DHBA:12354 ; DMBA:17793 ; HBA:9297 ; MA:0002746 ; MBA:326 ; SCTID:279218008 ; UMLS:C0152391 ; Wikipedia:Superior_cerebellar_peduncle ; neuronames:1736,,,http://purl.obolibrary.org/obo/UBERON_0002150,http://upload.wikimedia.org/wikipedia/commons/9/97/Gray704.png,we follow NIF in dividing this into 3 parts. This allows for consistency with ABA,,we make the TAO class disjoint for now as it's not clear if this is the analagous structure,,UBERON:0002150,http://purl.obolibrary.org/obo/NCBITaxon_9606,,,,superior cerebellar peduncle of pons ; superior cerebellar peduncle of midbrain ; decussation of superior cerebellar peduncle,,,hierarchicalParents,ancestors,,,children,,descendants,,,,,,parents,
UBERON:0003716,recurrent laryngeal nerve,recurrent nerve ; nervus laryngeus recurrens ; recurrent laryngeal nerve from vagus nerve ; vagus X nerve recurrent laryngeal branch ; inferior laryngeal nerve ; ramus recurrens,,,,,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants,,,,,,,,A branch of the vagus nerve that supplies motor function and sensation to the larynx (voice box). It travels within the endoneurium. It is the nerve of the 6th Branchial Arch.,,,None,AAO:0010754 ; FMA:6246 ; GAID:804 ; MESH:D012009 ; SCTID:24227007 ; VHOG:0001347 ; Wikipedia:Recurrent_laryngeal_nerve,,,http://purl.obolibrary.org/obo/UBERON_0003716,,,"Branch of the vagus nerve that separates from the vagus well postcranially, then continues anteriorly to innervate the larynx[AAO:0010754].",,,UBERON:0003716,http://purl.obolibrary.org/obo/NCBITaxon_9606,,arytenoid muscle ; crico-arytenoid muscle ; thyro-arytenoid ; lateral crico-arytenoid ; posterior crico-arytenoid ; larynx,,,right recurrent laryngeal nerve ; left recurrent laryngeal nerve,,hierarchicalParents,ancestors,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002380,,children,,descendants,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002202,,,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002162,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002134,parents,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050
UBERON:0003716,recurrent laryngeal nerve,recurrent nerve ; nervus laryngeus recurrens ; recurrent laryngeal nerve from vagus nerve ; vagus X nerve recurrent laryngeal branch ; inferior laryngeal nerve ; ramus recurrens,,,,,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants,,,,,,,,A branch of the vagus nerve that supplies motor function and sensation to the larynx (voice box). It travels within the endoneurium. It is the nerve of the 6th Branchial Arch.,,,None,AAO:0010754 ; FMA:6246 ; GAID:804 ; MESH:D012009 ; SCTID:24227007 ; VHOG:0001347 ; Wikipedia:Recurrent_laryngeal_nerve,,,http://purl.obolibrary.org/obo/UBERON_0003716,,,"Branch of the vagus nerve that separates from the vagus well postcranially, then continues anteriorly to innervate the larynx[AAO:0010754].",,,UBERON:0003716,http://purl.obolibrary.org/obo/NCBITaxon_9606,,arytenoid muscle ; crico-arytenoid muscle ; thyro-arytenoid ; lateral crico-arytenoid ; posterior crico-arytenoid ; larynx,,,right recurrent laryngeal nerve ; left recurrent laryngeal nerve,,hierarchicalParents,ancestors,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002380,,children,,descendants,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002202,,,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002162,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002134,parents,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050
UBERON:0003716,recurrent laryngeal nerve,recurrent nerve ; nervus laryngeus recurrens ; recurrent laryngeal nerve from vagus nerve ; vagus X nerve recurrent laryngeal branch ; inferior laryngeal nerve ; ramus recurrens,,,,,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants,,,,,,,,A branch of the vagus nerve that supplies motor function and sensation to the larynx (voice box). It travels within the endoneurium. It is the nerve of the 6th Branchial Arch.,,,None,AAO:0010754 ; FMA:6246 ; GAID:804 ; MESH:D012009 ; SCTID:24227007 ; VHOG:0001347 ; Wikipedia:Recurrent_laryngeal_nerve,,,http://purl.obolibrary.org/obo/UBERON_0003716,,,"Branch of the vagus nerve that separates from the vagus well postcranially, then continues anteriorly to innervate the larynx[AAO:0010754].",,,UBERON:0003716,http://purl.obolibrary.org/obo/NCBITaxon_9606,,arytenoid muscle ; crico-arytenoid muscle ; thyro-arytenoid ; lateral crico-arytenoid ; posterior crico-arytenoid ; larynx,,,right recurrent laryngeal nerve ; left recurrent laryngeal nerve,,hierarchicalParents,ancestors,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002380,,children,,descendants,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002202,,,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002162,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002134,parents,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050
UBERON:0022353,posterior cingulate cortex,"posterior cingulate ; cingulate gyrus, posterior division ; posterior cingular cortex",,,,,hierarchicalAncestors,,,,,,,,,,Component of the cingulate cortex. The rostral and caudal extent were the caudal anterior and the isthmus divisions of the cingulate cortex respectively. The medial and lateral boundaries were the corpus callosum and as the superior frontal gyrus and/or paracentral lobule respectively (Christine Fennema-Notestine).,,,None,BIRNLEX:950 ; BTO:0004250 ; EFO:0002471 ; FMA:271593 ; Wikipedia:Posterior_cingulate,,,http://purl.obolibrary.org/obo/UBERON_0022353,,check relationship to gyrus. See https://github.com/obophenotype/uberon/issues/626,,,,UBERON:0022353,,,,,,,,hierarchicalParents,ancestors,,,,,,,,,,,parents,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050
UBERON:0009835,anterior cingulate cortex,ACC,,,,,hierarchicalAncestors,hierarchicalChildren,hierarchicalDescendants,,,,,,,,The frontal part of the cingulate cortex that resembles a collar form around the corpus callosum. It includes both the ventral and dorsal areas of the cingulate cortex. Wikipedia:File:Gray727.svg.,,,None,BIRNLEX:936 ; BTO:0004249 ; FMA:271599 ; Wikipedia:Anterior_cingulate_cortex,,,http://purl.obolibrary.org/obo/UBERON_0009835,http://upload.wikimedia.org/wikipedia/commons/2/22/Gray727_anterior_cingulate_cortex.png,,,,,UBERON:0009835,,,,,caudal anterior cingulate cortex ; rostral anterior cingulate cortex ; Brodmann (1909) area 24 ; anterior cingulate gyrus,,,hierarchicalParents,ancestors,,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002216,children,,descendants,,,,,,parents,http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050
