Id_snomed	Label	Synonyms_snomed	Annotation: alternative label	Annotation: preferred label	Incoming: subClassOf	Outgoing: Subclass Of	Outgoing: hierarchicalAncestors_snomed	Outgoing: hierarchicalChildren_snomed	Outgoing: hierarchicalDescendants_snomed	Id_uberon	Annotation: database_cross_reference	Annotation: depiction	Annotation: dubious for taxon	Annotation: editor note	Annotation: external_definition	Annotation: external_ontology_notes	Annotation: has_alternative_id	Annotation: homology_notes	Annotation: id	Annotation: never in taxon	Annotation: present in taxon	Annotation: taxon_notes	Definition	IRI	Incoming: BSPO 0000122	Incoming: BSPO 0000123	Incoming: RO 0002296	Incoming: RO 0002433	Incoming: adjacent to	Incoming: overlaps	Incoming: part of	Incoming: rdf-schema#subClassOf	Incoming: results in morphogenesis of	Outgoing: Subclass Of (Is A)	Outgoing: ancestors	Outgoing: children	Outgoing: contributes to morphology of	Outgoing: descendants	Outgoing: extends fibers into	Outgoing: has part	Outgoing: hierarchicalAncestors_uberon	Outgoing: hierarchicalChildren_uberon	Outgoing: hierarchicalDescendants_uberon	Outgoing: in taxon	Outgoing: overlaps	Outgoing: parents	Outgoing: part of	Synonyms_uberon
	anterior commissure									UBERON:0000935	BAMS:AC ; BAMS:AG ; BAMS:Ac ; BAMS:ac ; BIRNLEX:1557 ; BM:Tel-AC ; BTO:0002169 ; DHBA:10559 ; DMBA:17751 ; EMAPA:19038 ; FMA:61961 ; HBA:9221 ; MA:0002722 ; NCIT:C32086 ; NLX:144088 ; SCTID:279313001 ; SCTID:369119009 ; TAO:0001108 ; UMLS:C0152335 ; VHOG:0001558 ; Wikipedia:Anterior_commissure ; ZFA:0001108 ; neuronames:205	http://upload.wikimedia.org/wikipedia/commons/b/b4/Gray744.png ; https://cdn.humanatlas.io/digital-objects/ref-organ/brain-female/v1.4/assets/3d-allen-f-brain.glb ; https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.4/assets/3d-allen-m-brain.glb						In all vertebrates the thin structure that connects the two halves of the telencephalon shows a ridge-like thickening at the basal side known as the anterior commissure.[well established][VHOG]	UBERON:0000935		http://purl.obolibrary.org/obo/NCBITaxon_9606		A bundle of myelinated nerve fibers passing transversely through the lamina terminalis and connecting symmetrical parts of the two cerebral hemispheres; it consists of a smaller anterior part (pars anterior commissurae anterioris) and a larger posterior part (pars posterior commissurae anterioris).	http://purl.obolibrary.org/obo/UBERON_0000935				posterior part of anterior commissure ; anterior commissure anterior part			commissura rostral, pars dorsalis ; commissura rostral, pars ventralis ; posterior part of anterior commissure ; anterior commissure anterior part		anterior commissure morphogenesis	hierarchicalParents	ancestors	children		descendants			hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants			parents		anterior cerebral commissure ; commissura anterior cerebri ; commissura rostralis ; AC ; anterior commissural nucleus ; commissura anterior ; commissura rostral ; paleocortical commissure ; precommisure ; rostral commissure
	anterior thalamic radiation									UBERON:0034746	DHBA:12043 ; FMA:76976 ; neuronames:1726								UBERON:0034746					http://purl.obolibrary.org/obo/UBERON_0034746										hierarchicalParents	ancestors						hierarchicalAncestors					parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	anterior radiation of thalamus ; anterior thalamic radiation ; radiatio thalami anterior ; anterior thalamic radiation ; anterior thalamic radiations ; athf ; radiationes thalamicae anteriores
	arcuate fasciculus									UBERON:0035937	DHBA:10569 ; FMA:276650 ; HBA:9231 ; Wikipedia:Arcuate_fasciculus ; neuronames:2063								UBERON:0035937				The arcuate fasciculus (Latin, curved bundle) is the neural pathway connecting the posterior part of the temporoparietal junction with the frontal cortex in the brain and is now considered as part of the Superior longitudinal fasciculus.	http://purl.obolibrary.org/obo/UBERON_0035937										hierarchicalParents	ancestors						hierarchicalAncestors					parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	arcuate fascicle ; cerebral arcuate fasciculus ; fasciculus arcuatus ; AF ; ARF ; arcuate fascicle ; arcuate fasciculus ; fibrae arcuatae cerebri
	cerebellar peduncle									UBERON:0007416	BAMS:cbp ; EMAPA:35213 ; FMA:272298 ; MA:0002742 ; MBA:752 ; NCIT:C88147 ; SCTID:362417003 ; UMLS:C0228515 ; neuronames:1207								UBERON:0007416				Any of the three large paired bundles of nerve fibers that connect the cerebellum to the brain stem.	http://purl.obolibrary.org/obo/UBERON_0007416								inferior cerebellar peduncle ; middle cerebellar peduncle ; superior cerebellar peduncle		hierarchicalParents	ancestors	children	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002433	descendants			hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants			parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	cerebellum peduncle
	cerebral peduncle									UBERON:0002623	BAMS:cpd ; BIRNLEX:1202 ; BM:CP ; BTO:0004676 ; EFO:0001987 ; FMA:62394 ; MBA:924 ; MESH:D065850 ; NCIT:C32291 ; SCTID:362391000 ; UMLS:C0007793 ; Wikipedia:Cerebral_peduncle ; neuronames:487	http://upload.wikimedia.org/wikipedia/commons/e/e9/Gray689.png ; https://cdn.humanatlas.io/digital-objects/ref-organ/brain-female/v1.4/assets/3d-allen-f-brain.glb ; https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.4/assets/3d-allen-m-brain.glb							UBERON:0002623		http://purl.obolibrary.org/obo/NCBITaxon_9606		Neuronames includes the substantia nigra, crus cerebri and midbrain tegmentum as substructures of the cerebral peduncle; the mouse atlases only include the crus cerebri as the cerebral peduncle (MM) | Synonym for macrodissected adult human tegmentum (Vicq d'Azyr, 1784; Swanson, 2000); pp. 555-556. Later used thus by for example His (1893b, p. 178), Herrick (1915, p. 160), Strong & Elwyn (1943, p. 17), Carpenter (1976, p. 367), Williams & Warwick (1980, p. 935).	http://purl.obolibrary.org/obo/UBERON_0002623							medial lemniscus of midbrain ; cerebral crus			hierarchicalParents	ancestors	children		descendants		http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000051	hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants			parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	CP ; cerebral peduncle ; peduncle of midbrain ; pedunculus cerebri ; cerebal peduncle ; cerebral peduncle (archaic) ; pedunculi cerebri ; pedunculus cerebralis ; pedunculus cerebri ; tegmentum
	cingulum of brain									UBERON:0003961	BAMS:cg ; DHBA:10572 ; EMAPA:37828 ; FMA:260761 ; FMA:83869 ; HBA:9240 ; MBA:940 ; SCTID:369084007 ; neuronames:1445								UBERON:0003961				The white matter fiber bundle that projects from the cingulate gyrus to the entorhinal cortex in the brain.	http://purl.obolibrary.org/obo/UBERON_0003961								hippocampus cortex cingulum ; temporal cortex cingulum ; cingulate cortex cingulum		hierarchicalParents	ancestors	children	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002433	descendants			hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants			parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	cingulum ; cingulum bundle ; cingulum of telencephalon ; neuraxis cingulum
	cingulum of brain									UBERON:0003961	BAMS:cg ; DHBA:10572 ; EMAPA:37828 ; FMA:260761 ; FMA:83869 ; HBA:9240 ; MBA:940 ; SCTID:369084007 ; neuronames:1445								UBERON:0003961				The white matter fiber bundle that projects from the cingulate gyrus to the entorhinal cortex in the brain.	http://purl.obolibrary.org/obo/UBERON_0003961								hippocampus cortex cingulum ; temporal cortex cingulum ; cingulate cortex cingulum		hierarchicalParents	ancestors	children	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002433	descendants			hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants			parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	cingulum ; cingulum bundle ; cingulum of telencephalon ; neuraxis cingulum
	corona radiata of neuraxis									UBERON:0004682	DHBA:12030 ; FMA:18661 ; HBA:265505046 ; NLXANAT:090903 ; Wikipedia:Corona_radiata ; neuronames:1446	http://upload.wikimedia.org/wikipedia/commons/2/26/Gray745.png							UBERON:0004682				Fan shaped white matter mass comprised of afferent and efferent fibers from the cerebral cortex arranged in radially arrayed bundles, converging towards the internal capsule (Carpenter, Core Text of Neuroanatomy, 3rd ed, 1985, pg. 30; Heimer, The Human Brain and Spinal Cord, 2nd ed., 1995, pg 84).	http://purl.obolibrary.org/obo/UBERON_0004682							posterior corona radiata ; superior corona radiata ; anterior corona radiata			hierarchicalParents	ancestors	children		descendants			hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants			parents		corona radiata
	corpus callosum									UBERON:0002336	BAMS:CC ; BAMS:cc ; BIRNLEX:1087 ; BM:Tel-CC ; BTO:0000615 ; CALOHA:TS-0180 ; DHBA:10561 ; EFO:0001390 ; EMAPA:35253 ; EV:0100305 ; FMA:86464 ; GAID:683 ; HBA:9222 ; MA:0000188 ; MAT:0000286 ; MBA:776 ; MESH:D003337 ; MIAA:0000286 ; NCIT:C12446 ; SCTID:362354006 ; UMLS:C0010090 ; VHOG:0001608 ; Wikipedia:Corpus_callosum ; neuronames:191	http://upload.wikimedia.org/wikipedia/commons/a/aa/Gray733.png ; https://cdn.humanatlas.io/digital-objects/ref-organ/brain-female/v1.4/assets/3d-allen-f-brain.glb ; https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.4/assets/3d-allen-m-brain.glb			The largest commissure of the brain connecting the cerebral hemispheres. [TFD][VHOG]			In addition to the anterior commissure, placental mammals have a phylogenetically new forebrain commissure, the corpus callosum, which primarily interconnects the neocortex of the cerebral hemispheres.[well established][VHOG]	UBERON:0002336	http://purl.obolibrary.org/obo/NCBITaxon_9255	http://purl.obolibrary.org/obo/NCBITaxon_9606	The corpus callosum is found only in placental mammals. other groups do have other brain structures that allow for communication between the two hemispheres, such as the anterior commissure, which serves as the primary mode of interhemispheric communication in marsupials.	White matter structure containing massive numbers of commissural fibers connecting cortical areas in the two cerebral hemispheres. It is subdivided into a genu, a rostrum, a body, and a splenium. (MM).	http://purl.obolibrary.org/obo/UBERON_0002336	splenium of the corpus callosum	genu of corpus callosum	corpus callosum development		quadrigeminal cistern		radiation of corpus callosum ; forceps minor of corpus callosum ; splenium of the corpus callosum ; genu of corpus callosum ; body of corpus callosum ; rostrum of corpus callosum ; tapetum of corpus callosum		corpus callosum morphogenesis	hierarchicalParents	ancestors	children	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002433	descendants			hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002162		parents		
	corticopontine fibers									UBERON:0022271	DHBA:266441721 ; FMA:75190 ; HBA:265505490 ; SCTID:91366009 ; Wikipedia:Corticopontine_fibers ; neuronames:1322								UBERON:0022271				Corticopontine fibers, commonly referred to as corticobulbar fibers, are projections from the cerebral cortex to the pontine nuclei. Depending upon the lobe of origin, they can be classified as frontopontine fibers, parietopontine fibers, temporopontine fibers and occipitopontine fibers. They are motor fibers that stretch from the precentral gyrus (motor strip) to the nuclei of cranial nerves V (trigenimal), VII (facial) and XII (hypoglossal). These fibers run alongside the corticospinal fibers.	http://purl.obolibrary.org/obo/UBERON_0022271										hierarchicalParents	ancestors						hierarchicalAncestors					parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	cortico-pontine fibers ; cortico-pontine fibers, pontine part ; corticopontine fibers ; corticopontine fibers of pons ; corticopontine fibers set ; corticopontine fibres ; fibrae corticopontinae ; tractus corticopontinus ; corticopontine ; corticopontine fibres
	corticospinal tract									UBERON:0002707	BAMS:P ; BIRNLEX:1464 ; BM:CST ; BM:Me-PyT ; BTO:0006132 ; DHBA:12776 ; DMBA:17756 ; EMAPA:36600 ; FMA:72634 ; GAID:702 ; HBA:265505574 ; MBA:190 ; MBA:784 ; MESH:D011712 ; SCTID:362325000 ; UMLS:C0034229 ; Wikipedia:Corticospinal_tract ; neuronames:1320 ; neuronames:800	http://upload.wikimedia.org/wikipedia/commons/a/ac/Gray684.png					UBERON:0004095		UBERON:0002707		http://purl.obolibrary.org/obo/NCBITaxon_9606		The corticospinal fibers that arise from the pyramidal cells within the cerebral cortex layer V of the precentral motor area, the premotor area and the postcentral gyrus, then descend into and through the medulla to form the lateral corticospinal tract and the anterior corticospinal tract.	http://purl.obolibrary.org/obo/UBERON_0002707							ventral corticospinal tract ; pyramidal decussation ; lateral corticospinal tract		corticospinal tract morphogenesis	hierarchicalParents	ancestors	children		descendants			hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants			parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	pyramidal tract ; corticospinal fibers ; fasciculus cerebro-spinalis ; fasciculus pyramidalis ; fibrae corticospinales ; pyramid (Willis) ; tractus cortico-spinalis ; tractus corticospinalis ; tractus pyramidalis
	external capsule of telencephalon									UBERON:0004545	BAMS:EC ; BAMS:ec ; DHBA:10573 ; DMBA:17765 ; EMAPA:35331 ; FMA:61959 ; HBA:9243 ; MA:0002896 ; MBA:579 ; NCIT:C32550 ; NLXANAT:1010013 ; SCTID:279300007 ; UMLS:C0152345 ; Wikipedia:External_capsule ; neuronames:253	http://upload.wikimedia.org/wikipedia/commons/9/91/Telencephalon-Horiconatal.jpg							UBERON:0004545				Any of the series of white matter fiber tracts in the brain that run between the most lateral segment of the lentiform nucleus and the claustrum; the white matter of the external capsule contains fibers known as corticocortical association fibers which are responsible for connecting the cerebral cortex to another cortical area; the capsule appears as a thin white sheet of white matter and provides a route for cholinergic fibers from the basal forebrain to the cerebral cortex; it eventually joins the internal capsule around the lentiform nucleus.	http://purl.obolibrary.org/obo/UBERON_0004545										hierarchicalParents	ancestors						hierarchicalAncestors					parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	brain external capsule ; external capsule ; capsula externa ; corpus callosum external capsule
	extreme capsule									UBERON:0014528	BAMS:ex ; BAMS:exc ; DHBA:10574 ; FMA:61960 ; HBA:9246 ; NLXANAT:1010014 ; SCTID:279301006 ; Wikipedia:Extreme_capsule ; neuronames:254				Extreme capsule is an organ subdivision of the telencephalon which is made up primarily of myelinated axonal neural tissue (white matter). The extreme capsule is a sheet-like fiber bundle located lateral to the clausturm and medial to the insula which projects dorsally to the white matter underlying the cerebral cortex[FMA:61960]. ; The extreme capsule is a long association fiber pathway of white matter in the brain that provides bidirectional communication between such areas as the claustrum and the insular cortex, and the inferior frontal gyrus and the middle-posterior portion of the superior temporal gyrus. Its fibers are near to but can be distinguished by MRI tractography from adjacent fiber bundles such as the uncinate fasciculus, the external capsule, the arcuate fascicle, and the medial, inferior and superior longitudinal fascicles. Given its bidirectional connection between the Broca's and Werniche's speech areas it could have a role in language[Wikipedia:Extreme_capsule, Wikipedia:Extreme_capsule]. ; Thin band of fibers separating the claustrum from the insular cortex				UBERON:0014528				Thin band of fibers separating the claustrum from the insular cortex.	http://purl.obolibrary.org/obo/UBERON_0014528										hierarchicalParents	ancestors						hierarchicalAncestors					parents		band of Baillarger ; capsula extrema
	forceps major of corpus callosum									UBERON:0034676	DHBA:12025 ; FMA:61949 ; SCTID:369201007 ; neuronames:197								UBERON:0034676					http://purl.obolibrary.org/obo/UBERON_0034676										hierarchicalParents	ancestors						hierarchicalAncestors					parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	forceps major ; forceps major of corpus callosum ; forceps occipitalis ; major forceps ; occipital forceps ; posterior forceps ; posterior forceps of corpus callosum ; ccs-ma ; corpus callosum, forceps major ; corpus callosum, posterior forceps (Arnold) ; forceps major corporis callosi ; forceps major of corpus callosum ; forceps major of the corpus callosum ; forceps occipitalis ; occipital forceps ; posterior forceps ; posterior forceps of the corpus callosum
	forceps minor of corpus callosum									UBERON:0034678	DHBA:12024 ; FMA:61944 ; SCTID:369199005 ; neuronames:192								UBERON:0034678					http://purl.obolibrary.org/obo/UBERON_0034678										hierarchicalParents	ancestors						hierarchicalAncestors					parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	anterior forceps ; anterior forceps of corpus callosum ; forceps frontalis ; forceps minor ; frontal forceps ; minor forceps ; anterior forceps ; anterior forceps of the corpus callosum ; corpus callosum, anterior forceps ; corpus callosum, anterior forceps (Arnold) ; corpus callosum, forceps minor ; forceps frontalis ; forceps minor ; forceps minor corporis callosi ; forceps minor of corpus callosum ; forceps minor of the corpus callosum ; frontal forceps
	fornix of brain									UBERON:0000052	BAMS:f ; BIRNLEX:705 ; DHBA:10576 ; DMBA:17767 ; EMAPA:35352 ; FMA:61965 ; FMA:83865 ; HBA:9249 ; MA:0002747 ; NCIT:C32289 ; SCTID:279302004 ; UMLS:C0152334 ; UMLS:C0458370 ; Wikipedia:fornix_of_brain ; neuronames:268	http://upload.wikimedia.org/wikipedia/commons/2/21/Gray747.png ; https://cdn.humanatlas.io/digital-objects/ref-organ/brain-female/v1.4/assets/3d-allen-f-brain.glb ; https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.4/assets/3d-allen-m-brain.glb							UBERON:0000052		http://purl.obolibrary.org/obo/NCBITaxon_9606		A C-shaped bundle of fibres (axons) in the brain, and carries signals from the hippocampus to the mammillary bodies and septal nuclei. It is typically divided into the columns (crus), body, commissure and the pre-commissural and post-commissural fornix (MM).	http://purl.obolibrary.org/obo/UBERON_0000052							precommissural fornix of forebrain ; posterior column of fornix ; body of fornix ; anterior column of fornix ; postcommissural fornix of brain ; hippocampus fimbria			hierarchicalParents	ancestors	children		descendants	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2Fuberon%2Fcore%23extends_fibers_into		hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants			parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	fornix ; brain fornix ; cerebral fornix ; forebrain fornix ; fornix of neuraxis ; neuraxis fornix ; fornix (column and body of fornix) ; fornix cerebri ; fornix hippocampus ; hippocampus fornix
	hippocampus cortex cingulum									UBERON:0022430									UBERON:0022430					http://purl.obolibrary.org/obo/UBERON_0022430										hierarchicalParents	ancestors						hierarchicalAncestors					parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	cingulum (Ammon's horn) ; cingulum (hippocampus) ; cingulum bundle in hippocampus
	inferior longitudinal fasciculus									UBERON:0034743	DHBA:10580 ; FMA:77632 ; HBA:9260 ; NeuroNamesCNID:538 ; SCTID:369085008 ; Wikipedia:Inferior_longitudinal_fasciculus ; neuronames:1443								UBERON:0034743				The inferior longitudinal fasciculus connects the temporal lobe and occipital lobe, running along the lateral walls of the inferior and posterior cornua of the lateral ventricle. The existence of this fasciculus independent from the occipitotemporal fasciculus has been questioned for the human being, such that it has been proposed that the term inferior longitudinal fasciculus be replaced by the term 'occipitotemporal projection'.	http://purl.obolibrary.org/obo/UBERON_0034743										hierarchicalParents	ancestors						hierarchicalAncestors					parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	external sagittal stratum ; fasciculus fronto-occipitalis inferior ; fasciculus longitudinalis inferior ; ilf
	inferior occipitofrontal fasciculus									UBERON:0034753	DHBA:12070 ; FMA:77633 ; SCTID:369087000 ; neuronames:1442								UBERON:0034753					http://purl.obolibrary.org/obo/UBERON_0034753										hierarchicalParents	ancestors						hierarchicalAncestors					parents		inferior occipitofrontal fasciculus ; fasciculus occipito-frontalis inferior ; fasciculus occipitofrontalis inferior ; inferior fronto-occipital fasciculus ; inferior occipitofrontal fasciculus
