clean_label	Id_snomed	Id_uberon	Label_uberon	Label_snomed	synonyms	Definition	Synonyms_snomed	Annotation: alternative label	Annotation: preferred label	Incoming: subClassOf	Outgoing: Subclass Of	Outgoing: hierarchicalAncestors_snomed	Outgoing: hierarchicalChildren_snomed	Outgoing: hierarchicalDescendants_snomed	Annotation: database_cross_reference	Annotation: depiction	Annotation: editor note	Annotation: external_definition	Annotation: external_ontology_notes	Annotation: homology_notes	Annotation: id	Annotation: present in taxon	IRI	Incoming: BFO 0000051	Incoming: RO 0002005	Incoming: RO 0002433	Incoming: part of	Incoming: rdf-schema#subClassOf	Incoming: results in morphogenesis of	Outgoing: Subclass Of (Is A)	Outgoing: ancestors	Outgoing: branching part of	Outgoing: capable of part of	Outgoing: children	Outgoing: contributes to morphology of	Outgoing: descendants	Outgoing: develops from	Outgoing: hierarchicalAncestors_uberon	Outgoing: hierarchicalChildren_uberon	Outgoing: hierarchicalDescendants_uberon	Outgoing: in anterior side of	Outgoing: in posterior side of	Outgoing: in taxon	Outgoing: innervates	Outgoing: parents	Outgoing: part of	Synonyms_uberon
entire splenium of corpus callosum	SNOMED_362355007			Entire splenium of corpus callosum	Entire splenium of corpus callosum				Entire splenium of corpus callosum		hierarchicalParents	hierarchicalAncestors																																			
entire superior cerebellar peduncle	SNOMED_279218008			Entire superior cerebellar peduncle	Entire superior cerebellar peduncle				Entire superior cerebellar peduncle		hierarchicalParents	hierarchicalAncestors																																			
genu of corpus callosum	SNOMED_70215001	UBERON:0015599	genu of corpus callosum	Structure of genu of corpus callosum	Genu of corpus callosum ; Structure of genu of corpus callosum	Part of corpus callosum comprising the 'kneelike' anterior bend (adapted from Nolte, The Human Brain, 6th ed., 2009 pg 664).		Genu of corpus callosum	Structure of genu of corpus callosum	Entire genu of corpus callosum	hierarchicalParents	hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants	DHBA:10563 ; FMA:61946 ; HBA:9223 ; MBA:1108 ; NCIT:C32675 ; NLX:144462 ; NeuroNamesCNID:176 ; SCTID:279310003 ; UMLS:C0152321 ; Wikipedia:Genu_of_the_corpus_callosum ; neuronames:194						UBERON:0015599		http://purl.obolibrary.org/obo/UBERON_0015599				forceps minor of corpus callosum			hierarchicalParents	ancestors			children		descendants		hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBSPO_0000123				parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	corpus callosum genu ; corpus callosum, genu ; genu ; genu corporis callosi ; genu corpus callosi ; genu of corpus callosum ; genu of the corpus callosum ; rostrum of corpus callosum (Mai)
inferior cerebellar peduncle		UBERON:0002163	inferior cerebellar peduncle			Regional part of medullary white matter (according to Neuronames) primarily found at the level of the open medulla, consisting of a large bundle of fibers projecting to and projecting from the cerebellum. The icp is continuous with the dorsal spinocerebellar tract and also contains a large number of fibers originating in the inferior olivary complex (MM).									BAMS:icp ; BIRNLEX:1691 ; BM:RB ; DHBA:12741 ; DMBA:17772 ; FMA:72615 ; HBA:9291 ; MA:0002744 ; MBA:1123 ; NIFSTD_RETIRED:birnlex_1645 ; SCTID:362418008 ; UMLS:C0152393 ; Wikipedia:Inferior_cerebellar_peduncle ; neuronames:781	http://upload.wikimedia.org/wikipedia/commons/f/fc/Gray677.png					UBERON:0002163	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/UBERON_0002163				juxtarestiform body			hierarchicalParents	ancestors			children		descendants		hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants					parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	corpus restiforme ; restiform body ; crus cerebelli ad medullam oblongatam ; crus medullo-cerebellare ; inferior cerebellar peduncle (Ridley) ; inferior cerebellar peduncle (restiform body) ; inferior peduncle ; pedunculus cerebellaris caudalis ; pedunculus cerebellaris inferior
middle cerebellar peduncle		UBERON:0002152	middle cerebellar peduncle			Regional part of medullary white matter (according to Neuronames) primarily found at the level of the pons, consisting of a very large bundle of fibers originating in the pontine nuclei projecting to the cerebellum (MM).									BAMS:BP ; BAMS:bp ; BAMS:mcp ; BIRNLEX:1529 ; BM:Pons-BP ; DHBA:12768 ; FMA:72515 ; HBA:9294 ; MA:0002745 ; MBA:78 ; MESH:D065837 ; NIFSTD_RETIRED:birnlex_1699 ; SCTID:279219000 ; UMLS:C0152392 ; Wikipedia:Middle_cerebellar_peduncle ; neuronames:620	http://upload.wikimedia.org/wikipedia/commons/2/2b/Gray705.png					UBERON:0002152	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/UBERON_0002152	basal part of pons			pontocerebellar tract			hierarchicalParents	ancestors			children		descendants		hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants					parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	brachium pontis ; brachium pontis (stem of middle cerebellar peduncle) ; crus cerebelli ad pontem ; crus ponto-cerebellare ; mid-cerebellar peduncle ; pedunculus cerebellaris medialis ; pedunculus cerebellaris medius ; pedunculus cerebellaris pontinus
posterior cingulate cortex		UBERON:0022353	posterior cingulate cortex			Component of the cingulate cortex. The rostral and caudal extent were the caudal anterior and the isthmus divisions of the cingulate cortex respectively. The medial and lateral boundaries were the corpus callosum and as the superior frontal gyrus and/or paracentral lobule respectively (Christine Fennema-Notestine).									BIRNLEX:950 ; BTO:0004250 ; EFO:0002471 ; FMA:271593 ; Wikipedia:Posterior_cingulate		check relationship to gyrus. See https://github.com/obophenotype/uberon/issues/626				UBERON:0022353		http://purl.obolibrary.org/obo/UBERON_0022353							hierarchicalParents	ancestors							hierarchicalAncestors							parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	posterior cingulate ; cingulate gyrus, posterior division ; posterior cingular cortex
recurrent laryngeal nerve		UBERON:0003716	recurrent laryngeal nerve			A branch of the vagus nerve that supplies motor function and sensation to the larynx (voice box). It travels within the endoneurium. It is the nerve of the 6th Branchial Arch.									AAO:0010754 ; FMA:6246 ; GAID:804 ; MESH:D012009 ; SCTID:24227007 ; VHOG:0001347 ; Wikipedia:Recurrent_laryngeal_nerve			Branch of the vagus nerve that separates from the vagus well postcranially, then continues anteriorly to innervate the larynx[AAO:0010754].			UBERON:0003716	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/UBERON_0003716		arytenoid muscle ; crico-arytenoid muscle ; thyro-arytenoid ; lateral crico-arytenoid ; posterior crico-arytenoid ; larynx			right recurrent laryngeal nerve ; left recurrent laryngeal nerve		hierarchicalParents	ancestors	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002380		children		descendants	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002202	hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants			http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002162	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002134	parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	recurrent nerve ; nervus laryngeus recurrens ; recurrent laryngeal nerve from vagus nerve ; vagus X nerve recurrent laryngeal branch ; inferior laryngeal nerve ; ramus recurrens
recurrent laryngeal nerve		UBERON:0003716	recurrent laryngeal nerve			A branch of the vagus nerve that supplies motor function and sensation to the larynx (voice box). It travels within the endoneurium. It is the nerve of the 6th Branchial Arch.									AAO:0010754 ; FMA:6246 ; GAID:804 ; MESH:D012009 ; SCTID:24227007 ; VHOG:0001347 ; Wikipedia:Recurrent_laryngeal_nerve			Branch of the vagus nerve that separates from the vagus well postcranially, then continues anteriorly to innervate the larynx[AAO:0010754].			UBERON:0003716	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/UBERON_0003716		arytenoid muscle ; crico-arytenoid muscle ; thyro-arytenoid ; lateral crico-arytenoid ; posterior crico-arytenoid ; larynx			right recurrent laryngeal nerve ; left recurrent laryngeal nerve		hierarchicalParents	ancestors	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002380		children		descendants	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002202	hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants			http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002162	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002134	parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	recurrent nerve ; nervus laryngeus recurrens ; recurrent laryngeal nerve from vagus nerve ; vagus X nerve recurrent laryngeal branch ; inferior laryngeal nerve ; ramus recurrens
recurrent laryngeal nerve		UBERON:0003716	recurrent laryngeal nerve			A branch of the vagus nerve that supplies motor function and sensation to the larynx (voice box). It travels within the endoneurium. It is the nerve of the 6th Branchial Arch.									AAO:0010754 ; FMA:6246 ; GAID:804 ; MESH:D012009 ; SCTID:24227007 ; VHOG:0001347 ; Wikipedia:Recurrent_laryngeal_nerve			Branch of the vagus nerve that separates from the vagus well postcranially, then continues anteriorly to innervate the larynx[AAO:0010754].			UBERON:0003716	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/UBERON_0003716		arytenoid muscle ; crico-arytenoid muscle ; thyro-arytenoid ; lateral crico-arytenoid ; posterior crico-arytenoid ; larynx			right recurrent laryngeal nerve ; left recurrent laryngeal nerve		hierarchicalParents	ancestors	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002380		children		descendants	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002202	hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants			http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002162	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002134	parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	recurrent nerve ; nervus laryngeus recurrens ; recurrent laryngeal nerve from vagus nerve ; vagus X nerve recurrent laryngeal branch ; inferior laryngeal nerve ; ramus recurrens
rostrum of corpus callosum	SNOMED_59326000	UBERON:0015703	rostrum of corpus callosum	Structure of rostrum of corpus callosum	Rostrum of corpus callosum ; Structure of rostrum of corpus callosum	The part of the corpus callosum that projects posteriorly and inferiorly from the anteriormost genu.		Rostrum of corpus callosum	Structure of rostrum of corpus callosum	Entire rostrum of corpus callosum	hierarchicalParents	hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants	DHBA:10562 ; FMA:61945 ; HBA:9226 ; MBA:979 ; NCIT:C33496 ; NeuroNamesCNID:175 ; SCTID:279311004 ; UMLS:C0152322 ; Wikipedia:Rostrum_of_corpus_callosum ; neuronames:193						UBERON:0015703		http://purl.obolibrary.org/obo/UBERON_0015703							hierarchicalParents	ancestors							hierarchicalAncestors							parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	corpus callosum rostrum ; corpus callosum, rostrum ; rostrum ; rostrum corporis callosi ; rostrum corpus callosi ; rostrum of corpus callosum ; rostrum of the corpus callosum
splenium of the corpus callosum		UBERON:0015708	splenium of the corpus callosum			The posterior end of the corpus callosum. It overlaps the tela chorioidea of the third ventricle and the mid-brain, and ends in a thick, convex, free border.									DHBA:10565 ; FMA:61948 ; HBA:9225 ; MBA:986 ; NCIT:C33610 ; NeuroNamesCNID:178 ; SCTID:362355007 ; UMLS:C0152319 ; Wikipedia:Splenium ; neuronames:196						UBERON:0015708		http://purl.obolibrary.org/obo/UBERON_0015708				forceps major of corpus callosum			hierarchicalParents	ancestors			children		descendants		hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants		http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBSPO_0000122			parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	splenium ; corpus callosum splenium ; corpus callosum, splenium ; corpus callosum splenium ; corpus callosum, splenium ; corpus callosum, splenium (Burdach) ; splenium corporis callosi ; splenium corpus callosi ; splenium of corpus callosum ; splenium of the corpus callosum
superior cerebellar peduncle		UBERON:0002150	superior cerebellar peduncle			A composite structure of the brain stem, which in NeuroNames is subdivided into the superior cerebellar peduncle of pons, the decussation of superior cerebellar peduncle and the superior cerebellar peduncle of midbrain (MM).									BAMS:5 ; BAMS:scp ; BIRNLEX:1711 ; BM:BC ; DHBA:12354 ; DMBA:17793 ; HBA:9297 ; MA:0002746 ; MBA:326 ; SCTID:279218008 ; UMLS:C0152391 ; Wikipedia:Superior_cerebellar_peduncle ; neuronames:1736	http://upload.wikimedia.org/wikipedia/commons/9/97/Gray704.png	we follow NIF in dividing this into 3 parts. This allows for consistency with ABA		we make the TAO class disjoint for now as it's not clear if this is the analagous structure		UBERON:0002150	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/UBERON_0002150				superior cerebellar peduncle of pons ; superior cerebellar peduncle of midbrain ; decussation of superior cerebellar peduncle			hierarchicalParents	ancestors			children		descendants		hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants					parents		brachium conjunctivum ; crus cerebello-cerebrale ; pedunculus cerebellaris cranialis ; pedunculus cerebellaris rostralis ; pedunculus cerebellaris superior ; scp ; superior cerebelar peduncles ; superior cerebellar peduncle (Galen, Stilling) ; superior cerebellar peduncle (brachium conjuctivum) ; superior cerebellar peduncle (brachium conjunctivum) ; superior peduncle ; tractus cerebello-rubralis ; tractus cerebello-tegmentalis mesencephali
